query,time,httpCalls,serverTime,importTime,exportTime,errors
Q10,932.458368526,82,11.051752631560975,21.388571436812235,0.06516386822956369,0
Q11,1764.307249513,170,10.041653674529416,41.82642768411075,0.06736587075626152,0
Q12,551.155392711,31,17.39347002883871,27.640611894669068,0.07006429856823336,0
Q13,994.21219791,83,11.741845863204828,42.810738804828674,0.06086855049592903,0
Q14,101.99230296,7,14.453965748999998,19.65127672467913,0.048228672572544644,0
Q2,,0
Q3,3.639708506,1,3.478643333,3.625631332397461,4.76837158203125E-4,0
Q4,,0
Q5,3.819070558,1,3.350351468,6.996631622314453,4.76837158203125E-4,0
Q7,,0
Q8,,0
Q9,362.715258884,18,19.786358157833337,29.937028884887695,0.08175108167860243,0
