query,time,httpCalls,serverTime,importTime,exportTime,errors
Q10,933.150638655,82,11.066723490414633,21.598080309425907,0.06603322378019008,0
Q11,1763.079907667,170,10.033943416811766,41.544183562783644,0.06662537069881665,0
Q12,551.200475607,31,17.393661848774194,28.006169103807014,0.06821847731067289,0
Q13,994.522180063,83,11.748517637746986,42.97423937234533,0.059946473822536234,0
Q14,101.717199205,7,14.41238470857143,18.85850088936942,0.049693243844168525,0
Q2,,0
Q3,2.992568128,1,2.820244302,3.704547882080078,2.384185791015625E-4,0
Q4,,0
Q5,4.82852678,1,4.386645812,7.266044616699219,9.5367431640625E-4,0
Q7,,0
Q8,,0
Q9,362.669675222,18,19.786729395055556,30.33814165327284,0.0787973403930664,0
