query,time,httpCalls,serverTime,importTime,exportTime,errors
C1.1,68.957618772,42,1.6217625753809521,87.5202985036941,0.12568632761637372,0
F1.1,5.896699367,5,1.1302129802,400.084114074707,0.067901611328125,0
F1.2,5.775357453,5,1.1183675604,397.1479415893555,0.07252693176269531,0
F1.3,3.753766871,5,0.7175157742,5.255889892578125,0.05888938903808594,0
F2.1,4.750994381,6,0.6913562245,3.1747023264567056,0.08543332417805989,0
F2.2,1.40220158,2,0.5401065645,5.793929100036621,0.04780292510986328,0
F2.3,0.303039334,1,0.105624605,10.585784912109375,7.152557373046875E-4,0
F3.1,2.481667347,3,0.7447812846666666,4.168272018432617,0.05213419596354167,0
F3.2,0.540877208,1,0.33268489,7.861137390136719,9.5367431640625E-4,0
F3.3,0.340213692,1,0.141935005,8.23521614074707,9.5367431640625E-4,0
F4.1,4.252880352,5,0.6734828130000001,5.406045913696289,0.08082389831542969,0
F4.2,3.941842196,4,0.75847569175,4.042267799377441,0.07593631744384766,0
F4.3,5.92927419,4,1.25550092575,500.18858909606934,0.07545948028564453,0
F5.1,0.214419681,1,0.046497501,10.500192642211914,7.152557373046875E-4,0
F5.2,0.24717591,1,0.067355367,10.156631469726562,7.152557373046875E-4,0
F5.3,0.287717401,1,0.085310132,9.343147277832031,7.152557373046875E-4,0
L1.1,0.190374466,1,0.039388809,5.681037902832031,7.152557373046875E-4,0
L1.2,0.197291742,1,0.038808134,6.183862686157227,4.76837158203125E-4,0
L1.3,0.210691132,1,0.045143733,7.950305938720703,4.76837158203125E-4,0
L2.1,6.693678484,9,0.7130364195555554,1.5232298109266493,0.04265043470594618,0
L2.2,20.966406057,27,0.7557013339259261,0.5529103455720124,0.04795745567039207,0
L2.3,3.56906463,5,0.6583373245999999,1.3339042663574219,0.037670135498046875,0
L3.1,0.195856615,1,0.034358546,4.38690185546875,4.76837158203125E-4,0
L3.2,0.195927374,1,0.034226982,4.78816032409668,4.76837158203125E-4,0
L3.3,0.193278621,1,0.034436269,4.891872406005859,4.76837158203125E-4,0
L4.1,3.551824573,4,0.67875901975,1.6149282455444336,0.030040740966796875,0
L4.2,3.479310947,4,0.664825098,1.5456676483154297,0.03236532211303711,0
L4.3,3.483740116,4,0.6747303877499999,1.648545265197754,0.02962350845336914,0
L5.1,2.85912815,4,0.6008084605,2.347290515899658,0.035822391510009766,0
L5.2,5.796155038,7,0.7277169741428571,1.10973630632673,0.0431197030203683,0
L5.3,2.271030707,3,0.6200352623333334,1.9098917643229165,0.033855438232421875,0
S1.1,0.227960213,1,0.058791233,14.465570449829102,7.152557373046875E-4,0
S1.2,0.209319079,1,0.039704875,11.144399642944336,4.76837158203125E-4,0
S1.3,0.259927034,1,0.070955892,12.586355209350586,4.76837158203125E-4,0
S2.1,4.114381195,4,0.9395728675,4.810631275177002,0.04094839096069336,0
S2.2,3.484147925,4,0.7810566975000001,2.4632811546325684,0.041484832763671875,0
S2.3,1.99599752,2,0.8565662540000001,4.238486289978027,0.026702880859375,0
S3.1,7.343438961,9,0.7951387012222222,22.780074013604057,0.05775027804904514,0
S3.2,6.903400873,9,0.747862252111111,23.357550303141277,0.05790922376844618,0
S3.3,6.799981399,9,0.7353975532222222,24.38407474093967,0.051975250244140625,0
S4.1,7.44820476,9,0.8006192214444445,27.54542562696669,0.05435943603515624,0
S4.2,7.313008135,9,0.7886657018888888,26.158041424221462,0.06392267015245226,0
S4.3,7.715885809,10,0.7528956696,1.4275074005126953,0.05714893341064453,0
S5.1,6.775617362,9,0.7340977692222223,1.3757811652289496,0.044372346666124135,0
S5.2,6.619207,9,0.716401509,1.3461112976074219,0.0442398918999566,0
S5.3,6.686654305,9,0.7197285604444446,1.2612342834472656,0.04389550950792101,0
S6.1,1.413827521,2,0.5780358715,3.253459930419922,0.025153160095214844,0
S6.2,2.392951266,3,0.687412444,9.168783823649088,0.03488858540852864,0
S6.3,2.42325724,3,0.6906367806666667,10.449806849161783,0.047763188680013016,0
S7.1,0.188793949,1,0.030327225,4.759550094604492,4.76837158203125E-4,0
S7.2,0.183907282,1,0.02986603,5.168437957763672,4.76837158203125E-4,0
S7.3,0.184153141,1,0.031771528,5.024194717407227,4.76837158203125E-4,0
