query,time,httpCalls,serverTime,importTime,exportTime,errors
query_10002,0.952448892,1,0.775619644,6.206274032592773,4.76837158203125E-4,0
query_10066,2.153411704,1,1.957554595,11.70039176940918,9.5367431640625E-4,0
query_10085,120.098869061,48,2.4954960356875002,0.5827794472376503,0.06069242954254151,0
query_10261,1.951316653,1,1.793938806,3.104686737060547,2.384185791015625E-4,0
query_10316,10.378919153,5,1.8549580996000001,1.1271953582763672,0.030040740966796875,0
query_10386,11.686182149,5,2.1873896174,12.50004768371582,0.04467964172363281,0
query_10406,2.591584869,1,2.087600886,6.227731704711914,4.76837158203125E-4,0
query_10470,9.541301052,5,1.6775148144,0.7955551147460938,0.03437995910644531,0
query_10499,26.657676462,13,1.8916398796153846,0.6191913898174579,0.038990607628455534,0
query_10512,2.102158616,1,1.912882289,3.9932727813720703,4.76837158203125E-4,0
query_10599,1.751500926,1,1.599570297,6.815910339355469,2.384185791015625E-4,0
query_10663,70.072117071,38,1.7203356133684211,0.37466852288497127,0.05547623885305305,0
query_10706,28.792717426,11,2.418977887090909,1.2080235914750532,0.06339766762473366,0
query_10750,110.303496407,48,2.044797027645833,0.46782692273457843,0.04569689432779946,0
query_10772,5.855172743,2,2.6105809065,2.912759780883789,0.023603439331054688,0
query_10796,2.664897093,1,2.478637868,17.09127426147461,4.76837158203125E-4,0
query_10915,118.755505414,46,2.574854037152174,0.46651778013809864,0.04353730574898098,0
query_1099,1.768540783,1,1.59976755,5.17725944519043,4.76837158203125E-4,0
query_11013,2.063640164,1,1.898376296,6.285667419433594,4.76837158203125E-4,0
query_11119,2.299074548,1,2.090595712,3.640890121459961,4.76837158203125E-4,0
query_11133,1.828369339,1,1.676879374,4.296064376831055,2.384185791015625E-4,0
query_11303,1.592809527,1,1.398352765,2.6903152465820312,2.384185791015625E-4,0
query_11343,19.994193585,8,2.4752240270000003,0.7807910442352295,0.03507733345031738,0
query_11386,2.312087737,1,2.109799281,3.9582252502441406,7.152557373046875E-4,0
query_11417,184.057643057,75,2.4487437719600007,0.3574816385904949,0.04059791564941406,0
query_11418,204.248375123,115,1.604303198052174,0.2773284912109375,0.02793643785559613,0
query_11460,12.957117667,5,2.442557045,2.473926544189453,0.056934356689453125,0
query_11466,88.460705485,49,1.6812376341224489,0.24111416875099653,0.02177880734813457,0
query_1146,4.564268631,2,2.1406195995,2.6432275772094727,0.03063678741455078,0
query_1154,1.641392986,1,1.481718447,2.1409988403320312,2.384185791015625E-4,0
query_11591,1.45864485,1,1.297424608,2.245664596557617,2.384185791015625E-4,0
query_11631,179.878728705,75,2.3930215967199997,0.36867777506510396,0.03939628601074218,0
query_11690,224.620279704,113,1.86849889218584,0.21302172567992073,0.026215494206521358,0
query_11842,4.467914328,2,2.1107604705,2.743363380432129,0.022292137145996094,0
query_1184,1.67196724,1,1.486212559,4.903554916381836,4.76837158203125E-4,0
query_11995,2.210786984,1,1.992956216,7.262468338012695,4.76837158203125E-4,0
query_12223,1.524518191,1,1.372467447,7.729768753051758,2.384185791015625E-4,0
query_12262,1.82176794,1,1.632581461,5.195379257202148,4.76837158203125E-4,0
query_12355,44.757209264,19,2.3438194170000006,31.685816614251387,0.05134783293071545,0
query_1235,3.839373541,2,1.7718632075,3.743886947631836,0.02205371856689453,0
query_1237,1.727750162,1,1.572368456,9.07135009765625,7.152557373046875E-4,0
query_1279,1.712300882,1,1.41123612,3.142118453979492,2.384185791015625E-4,0
query_1354,1.504215161,1,1.232802443,3.899097442626953,2.384185791015625E-4,0
query_1368,1.551802213,1,1.364675547,4.411935806274414,2.384185791015625E-4,0
query_1391,1.666600859,1,1.504404565,2.966642379760742,2.384185791015625E-4,0
query_1414,1.865755104,1,1.69786237,2.3698806762695312,2.384185791015625E-4,0
query_1461,1.575639322,1,1.406348035,3.4880638122558594,2.384185791015625E-4,0
query_1480,1.535888845,1,1.352136603,3.5753250122070312,2.384185791015625E-4,0
query_1486,1.477489688,1,1.301166955,3.8301944732666016,2.384185791015625E-4,0
query_1529,16.989809404,8,2.0995093633749997,1.0735094547271729,0.041961669921875,0
query_1581,1.875522909,1,1.710842317,5.304574966430664,4.76837158203125E-4,0
query_1669,1.657812116,1,1.47319899,4.133462905883789,2.384185791015625E-4,0
query_1719,41.369857042,19,2.164845913526316,31.631080727828177,0.04975419295461554,0
