query,time,httpCalls,serverTime,importTime,exportTime,errors
C1.1,15.228766893,3,4.990707588666667,6.395816802978516,0.07812182108561197,0
F1.1,0.720518172,1,0.552855599,6.577014923095703,4.76837158203125E-4,0
F1.2,0.726215008,1,0.534548924,6.140708923339844,4.76837158203125E-4,0
F1.3,0.684237077,1,0.503839816,6.325244903564453,4.76837158203125E-4,0
F2.1,0.907327638,1,0.698688007,8.117437362670898,4.76837158203125E-4,0
F2.2,0.373704393,1,0.163757173,10.116100311279297,4.76837158203125E-4,0
F2.3,0.30192057,1,0.10008283,14.672040939331055,4.76837158203125E-4,0
F3.1,0.373132794,1,0.18246693,7.203817367553711,4.76837158203125E-4,0
F3.2,0.207014105,1,0.045499729,5.857229232788086,2.384185791015625E-4,0
F3.3,0.216081392,1,0.046595138,5.926370620727539,2.384185791015625E-4,0
F4.1,0.542463375,1,0.26944412,9.805679321289062,9.5367431640625E-4,0
F4.2,0.892096337,1,0.526670707,14.165878295898438,7.152557373046875E-4,0
F4.3,0.748653341,1,0.506339551,10.940790176391602,4.76837158203125E-4,0
F5.1,0.232569731,1,0.046686474,6.619930267333984,2.384185791015625E-4,0
F5.2,0.212882145,1,0.037865087,6.026506423950195,2.384185791015625E-4,0
F5.3,0.204835061,1,0.041915058,6.370782852172852,2.384185791015625E-4,0
L1.1,0.18472117,1,0.0295099,3.426790237426758,2.384185791015625E-4,0
L1.2,0.205388035,1,0.048748603,3.9207935333251953,2.384185791015625E-4,0
L1.3,0.185999097,1,0.031942338,3.746509552001953,2.384185791015625E-4,0
L2.1,8.741880303,4,2.1061520514999996,1.228928565979004,0.03641843795776367,0
L2.2,1.306819874,1,1.138883607,3.894329071044922,9.5367431640625E-4,0
L2.3,8.617970933,4,2.0721500595,1.134634017944336,0.0362396240234375,0
L3.1,1.992241,1,1.802208843,3.004312515258789,2.384185791015625E-4,0
L3.2,0.644391983,1,0.440606882,2.826690673828125,2.384185791015625E-4,0
L3.3,0.194589844,1,0.032415512,5.084991455078125,2.384185791015625E-4,0
L4.1,0.498140293,1,0.236669548,2.5124549865722656,4.76837158203125E-4,0
L4.2,0.552156709,1,0.30446902,2.9277801513671875,2.384185791015625E-4,0
L4.3,0.567090314,1,0.331706831,2.7942657470703125,4.76837158203125E-4,0
L5.1,3.836198215,2,1.7246562344999998,2.2330284118652344,0.02288818359375,0
L5.2,1.318591384,1,1.114727654,4.032611846923828,9.5367431640625E-4,0
L5.3,4.141071443,2,1.87552269,2.118349075317383,0.023484230041503906,0
S1.1,0.624751015,1,0.468851036,9.709596633911133,2.384185791015625E-4,0
S1.2,0.219543395,1,0.043724523,10.098695755004883,2.384185791015625E-4,0
S1.3,0.20707756,1,0.041302431,9.148359298706055,4.76837158203125E-4,0
S2.1,0.404764292,1,0.203933671,4.4345855712890625,9.5367431640625E-4,0
S2.2,0.448388663,1,0.243092148,4.346609115600586,4.76837158203125E-4,0
S2.3,0.573812378,1,0.395769549,4.492998123168945,4.76837158203125E-4,0
S3.1,1.469504138,1,1.311637976,4.3506622314453125,9.5367431640625E-4,0
S3.2,1.499181203,1,1.344208137,4.2209625244140625,7.152557373046875E-4,0
S3.3,1.466331654,1,1.298785505,4.442453384399414,9.5367431640625E-4,0
S4.1,1.251083443,1,1.085002264,4.91023063659668,0.0011920928955078125,0
S4.2,1.425279505,1,1.253443252,5.365848541259766,7.152557373046875E-4,0
S4.3,1.003123255,1,0.83922855,4.817008972167969,2.384185791015625E-4,0
S5.1,0.928857751,1,0.765896356,4.685640335083008,4.76837158203125E-4,0
S5.2,0.748822535,1,0.591153185,4.429340362548828,0.0011920928955078125,0
S5.3,0.678026679,1,0.509978168,5.020856857299805,4.76837158203125E-4,0
S6.1,0.323189225,1,0.12372159,4.713773727416992,7.152557373046875E-4,0
S6.2,0.476640201,1,0.261634369,3.9272308349609375,4.76837158203125E-4,0
S6.3,0.409655707,1,0.190616447,4.646062850952148,2.384185791015625E-4,0
S7.1,0.72242343,1,0.546475488,4.006624221801758,2.384185791015625E-4,0
S7.2,0.827763126,1,0.644357058,3.972768783569336,2.384185791015625E-4,0
S7.3,0.711217398,1,0.540580142,4.169940948486328,4.76837158203125E-4,0
