query,time,httpCalls,serverTime,importTime,exportTime,errors
C1.1,,0
F1.1,33.184349663,4,8.2226816215,5.01018762588501,0.05161762237548828,0
F1.2,27.097873457,4,6.7250570235,4.390537738800049,0.05233287811279297,0
F1.3,27.048019165,4,6.71752979775,4.332125186920166,0.044465065002441406,0
F2.1,25.958918226,4,6.3335435765,2.334773540496826,0.06115436553955078,0
F2.2,5.306434,1,5.00776617,7.898569107055664,7.152557373046875E-4,0
F2.3,1.614716745,1,1.45615813,11.313199996948242,7.152557373046875E-4,0
F3.1,3.452152371,1,3.199734924,6.90460205078125,7.152557373046875E-4,0
F3.2,2.608694811,1,2.426101383,7.091999053955078,9.5367431640625E-4,0
F3.3,1.296232368,1,1.139983262,7.533788681030273,7.152557373046875E-4,0
F4.1,30.935326444,4,7.50106146925,3.2630562782287598,0.06431341171264648,0
F4.2,23.453270313,3,7.517886703,3.29891840616862,0.058094660441080734,0
F4.3,22.771594739,3,7.289828549666667,3.3427874247233076,0.05952517191569011,0
F5.1,0.425361646,1,0.223354738,6.666421890258789,4.76837158203125E-4,0
F5.2,0.625828594,1,0.462799575,5.698442459106445,4.76837158203125E-4,0
F5.3,0.388328677,1,0.165306527,5.8994293212890625,2.384185791015625E-4,0
L1.1,0.188947871,1,0.029591557,3.3538341522216797,2.384185791015625E-4,0
L1.2,0.191313415,1,0.035771338,7.855892181396484,2.384185791015625E-4,0
L1.3,1.77367415,1,1.608975771,3.7088394165039062,2.384185791015625E-4,0
L2.1,8.870847888,2,4.30561971,1.9211769104003906,0.015020370483398438,0
L2.2,86.582776289,12,7.170136927333333,0.5447467168172201,0.036835670471191406,0
L2.3,14.725023591,3,4.817646104333333,1.3049443562825522,0.026067097981770836,0
L3.1,0.693071158,1,0.498559094,2.4979114532470703,4.76837158203125E-4,0
L3.2,1.066652766,1,0.874338722,2.6445388793945312,2.384185791015625E-4,0
L3.3,4.074072581,1,3.911138635,3.04412841796875,4.76837158203125E-4,0
L4.1,20.076926202,3,6.391863776666666,1.0492801666259766,0.019629796346028648,0
L4.2,19.488518978,3,6.158749964666667,1.081387201944987,0.023762385050455727,0
L4.3,22.02375573,3,7.058657701333333,1.108725865681966,0.02272923787434896,0
L5.1,16.276748531,3,5.247334003333333,1.325845718383789,0.020583470662434898,0
L5.2,34.023018158,5,6.6385798244,0.9538173675537109,0.029516220092773438,0
L5.3,5.623005937,2,2.59528202,2.010226249694824,0.018835067749023438,0
S1.1,0.731282123,1,0.557905367,7.99250602722168,2.384185791015625E-4,0
S1.2,1.737094941,1,1.574097846,40.061235427856445,2.384185791015625E-4,0
S1.3,4.780136668,1,4.603398455,9.520530700683594,4.76837158203125E-4,0
S2.1,12.867308714,2,6.213669551000001,2.235531806945801,0.023126602172851562,0
S2.2,13.041713871,2,6.347772898,2.378225326538086,0.021576881408691406,0
S2.3,11.344824568,2,5.539153091,2.2782087326049805,0.023484230041503906,0
S3.1,50.290016855,7,7.156357665142857,22.35307012285505,0.045095171247209825,0
S3.2,49.278698233,7,7.012986060428571,20.970514842442103,0.041484832763671875,0
S3.3,50.155519982,7,7.133139145428571,20.925113133021764,0.04393713814871652,0
S4.1,51.134674638,7,7.270817432142858,21.252495901925226,0.044345855712890625,0
S4.2,50.921199992,7,7.241054254714286,21.95831707545689,0.0656332288469587,0
S4.3,19.835938784,3,6.543678775,1.6727447509765625,0.04220008850097656,0
S5.1,48.099827514,7,6.841316834714286,1.1746202196393691,0.03749983651297433,0
S5.2,46.851466059,7,6.666873456428572,0.9496893201555525,0.039202826363699775,0
S5.3,43.320240401,7,6.162778176857143,0.8700234549386161,0.032390866960797994,0
S6.1,9.390291973,2,4.5842961835,1.8000602722167969,0.019669532775878906,0
S6.2,10.784592245,2,5.2165887645,5.958914756774902,0.015497207641601562,0
S6.3,9.807589063,2,4.729518444,6.004452705383301,0.018835067749023438,0
S7.1,1.038255115,1,0.878155696,3.6916732788085938,2.384185791015625E-4,0
S7.2,0.359532656,1,0.173165266,4.467964172363281,2.384185791015625E-4,0
S7.3,0.530091277,1,0.380306416,3.427267074584961,2.384185791015625E-4,0
