query,time,httpCalls,serverTime,importTime,exportTime,errors
C1.1,36.081256575,3,11.947770883666665,7.147312164306641,0.06286303202311198,0
F1.1,1.559313901,1,1.384395999,6.925106048583984,4.76837158203125E-4,0
F1.2,1.660096341,1,1.478997642,5.311250686645508,4.76837158203125E-4,0
F1.3,1.560832895,1,1.361596196,5.822658538818359,2.384185791015625E-4,0
F2.1,1.318538326,1,1.120759069,8.649826049804688,9.5367431640625E-4,0
F2.2,0.522863346,1,0.315260243,7.09843635559082,2.384185791015625E-4,0
F2.3,0.322426313,1,0.120210582,8.544206619262695,4.76837158203125E-4,0
F3.1,0.47779689,1,0.284194009,6.300687789916992,7.152557373046875E-4,0
F3.2,0.78195572,1,0.621910862,7.011890411376953,2.384185791015625E-4,0
F3.3,0.74976098,1,0.588942946,6.693601608276367,4.76837158203125E-4,0
F4.1,1.275971252,1,1.004519364,10.293722152709961,4.76837158203125E-4,0
F4.2,1.62198085,1,1.262112411,9.85574722290039,7.152557373046875E-4,0
F4.3,0.814602867,1,0.559949322,10.605573654174805,7.152557373046875E-4,0
F5.1,0.327224422,1,0.108676305,6.915569305419922,4.76837158203125E-4,0
F5.2,0.201219975,1,0.042586899,8.22305679321289,2.384185791015625E-4,0
F5.3,0.242106466,1,0.060353514,6.653785705566406,4.76837158203125E-4,0
L1.1,0.70237541,1,0.540477501,4.296779632568359,4.76837158203125E-4,0
L1.2,1.174729571,1,1.015465836,4.25267219543457,2.384185791015625E-4,0
L1.3,3.735370685,1,3.56715551,3.4923553466796875,2.384185791015625E-4,0
L2.1,18.140121665,4,4.451528227,1.0882019996643066,0.027954578399658203,0
L2.2,5.102442037,1,4.926126597,3.4761428833007812,4.76837158203125E-4,0
L2.3,12.887731676,3,4.196916335666667,1.2837251027425132,0.035127003987630204,0
L3.1,1.9307896,1,1.773615465,2.4933815002441406,2.384185791015625E-4,0
L3.2,0.795897124,1,0.633402911,2.3975372314453125,2.384185791015625E-4,0
L3.3,0.49388893,1,0.297441591,2.515554428100586,4.76837158203125E-4,0
L4.1,0.997041815,1,0.738001277,3.2181739807128906,4.76837158203125E-4,0
L4.2,1.89189694,1,1.651944231,3.2465457916259766,7.152557373046875E-4,0
L4.3,2.538426621,1,2.291065747,3.101825714111328,2.384185791015625E-4,0
L5.1,6.595833624,2,3.112070755,1.8427371978759766,0.020623207092285156,0
L5.2,2.823529056,1,2.623240203,3.5059452056884766,7.152557373046875E-4,0
L5.3,3.929096581,2,1.7723884855,1.8705129623413086,0.01704692840576172,0
S1.1,0.949395525,1,0.791214579,10.039091110229492,2.384185791015625E-4,0
S1.2,0.616719021,1,0.418571612,8.160829544067383,2.384185791015625E-4,0
S1.3,0.878538683,1,0.711585301,9.978532791137695,7.152557373046875E-4,0
S2.1,0.856442168,1,0.669795078,4.662990570068359,2.384185791015625E-4,0
S2.2,1.127634125,1,0.941720299,4.04047966003418,2.384185791015625E-4,0
S2.3,1.998549716,1,1.803514485,4.938364028930664,4.76837158203125E-4,0
S3.1,2.857501311,1,2.69148164,4.1790008544921875,4.76837158203125E-4,0
S3.2,3.412959028,1,3.246887345,5.07354736328125,9.5367431640625E-4,0
S3.3,2.81814312,1,2.637517611,3.849506378173828,4.76837158203125E-4,0
S4.1,3.435476451,1,3.245465287,5.529880523681641,4.76837158203125E-4,0
S4.2,3.161023131,1,2.999857893,5.451679229736328,4.76837158203125E-4,0
S4.3,3.109070202,1,2.936334449,4.470348358154297,4.76837158203125E-4,0
S5.1,2.775755047,1,2.625769825,3.9997100830078125,7.152557373046875E-4,0
S5.2,2.542343882,1,2.372677913,3.8018226623535156,4.76837158203125E-4,0
S5.3,1.739576241,1,1.559848549,4.225730895996094,4.76837158203125E-4,0
S6.1,0.807483116,1,0.646176672,3.336191177368164,2.384185791015625E-4,0
S6.2,0.446787168,1,0.260400827,3.7033557891845703,7.152557373046875E-4,0
S6.3,0.461249474,1,0.267899398,4.114627838134766,4.76837158203125E-4,0
S7.1,0.829726541,1,0.66686641,4.735231399536133,4.76837158203125E-4,0
S7.2,1.052393428,1,0.896894133,3.5715103149414062,2.384185791015625E-4,0
S7.3,1.930407981,1,1.769479384,4.350900650024414,4.76837158203125E-4,0
