query,time,httpCalls,serverTime,importTime,exportTime,errors
query_11556,2.593367937,1,2.433805742,3.444194793701172,2.384185791015625E-4,0
query_140,3.304914945,1,3.126827081,4.176139831542969,4.76837158203125E-4,0
query_3379,3.260895484,1,3.106379172,6.61921501159668,2.384185791015625E-4,0
query_3428,8.847282095,2,4.1168841085,1.6006231307983398,0.020623207092285156,0
query_4074,4.632251043,1,4.436895695,3.155946731567383,2.384185791015625E-4,0
query_5314,4.369255979,1,4.208333258,5.083322525024414,4.76837158203125E-4,0
query_5714,3.994160832,1,3.811913397,8.437871932983398,7.152557373046875E-4,0
query_578,83.109009389,18,4.500755242944444,0.6384584638807509,0.04794862535264755,0
query_5790,3.845810407,1,3.613439013,4.014730453491211,4.76837158203125E-4,0
query_5791,3.435803103,1,3.268143006,6.699323654174805,2.384185791015625E-4,0
query_5794,3.881017297,1,3.697318764,2.813577651977539,2.384185791015625E-4,0
query_5795,3.76260424,1,3.522776212,3.596067428588867,2.384185791015625E-4,0
query_5796,3.673184899,1,3.513849843,7.312297821044922,2.384185791015625E-4,0
query_5798,3.517013391,1,3.345661043,5.197286605834961,2.384185791015625E-4,0
query_579,4.071291647,1,3.80559603,4.625797271728516,7.152557373046875E-4,0
query_57,3.645078051,1,3.419606945,3.7384033203125,7.152557373046875E-4,0
query_5804,3.941246428,1,3.727407787,7.412195205688477,4.76837158203125E-4,0
query_5806,3.707397842,1,3.512434438,5.267620086669922,2.384185791015625E-4,0
query_5807,4.456629675,1,4.290087663,4.939794540405273,4.76837158203125E-4,0
query_5808,4.075281861,1,3.909350434,4.395246505737305,7.152557373046875E-4,0
query_5809,4.098924165,1,3.933213499,4.579305648803711,2.384185791015625E-4,0
query_580,4.139183717,1,3.973777635,7.293462753295898,4.76837158203125E-4,0
query_5810,5.151545428,1,4.990698734,4.9533843994140625,2.384185791015625E-4,0
query_5811,5.628798205,1,5.473357409,3.3843517303466797,2.384185791015625E-4,0
query_5812,5.346929369,1,5.186479232,6.902456283569336,2.384185791015625E-4,0
query_5818,5.537621196,1,5.333995462,4.510402679443359,4.76837158203125E-4,0
query_5819,4.487897109,1,4.315798569,2.6581287384033203,2.384185791015625E-4,0
query_581,4.839664791,1,4.669318709,5.337715148925781,4.76837158203125E-4,0
