2019-06-08 00:01:10,52.43 M,1.98 G,6.70 K,419.27 K
2019-06-08 00:01:12,52.44 M,1.98 G,12.52 K,417.06 K
2019-06-08 00:01:14,52.45 M,1.98 G,9.30 K,375.50 K
2019-06-08 00:01:17,52.46 M,1.98 G,1.22 K,29.93 K
2019-06-08 00:01:20,52.46 M,1.98 G,528.00 B,5.63 K
2019-06-08 00:01:22,52.46 M,1.98 G,42.00 B,600.00 B
2019-06-08 00:01:25,52.47 M,1.98 G,0.00 B,336.00 B
2019-06-08 00:01:27,52.47 M,1.98 G,5.95 K,242.79 K
2019-06-08 00:01:29,52.47 M,1.98 G,0.00 B,276.00 B
2019-06-08 00:01:31,52.48 M,1.98 G,0.00 B,492.00 B
2019-06-08 00:01:33,52.48 M,1.98 G,5.95 K,242.47 K
2019-06-08 00:01:35,52.48 M,1.98 G,0.00 B,1.38 K
2019-06-08 00:01:37,52.49 M,1.98 G,6.03 K,242.08 K
2019-06-08 00:01:39,52.49 M,1.98 G,0.00 B,1.16 K
2019-06-08 00:01:41,52.49 M,1.98 G,0.00 B,1.54 K
2019-06-08 00:01:44,52.50 M,1.98 G,0.00 B,888.00 B
2019-06-08 00:01:46,52.50 M,1.98 G,0.00 B,924.00 B
2019-06-08 00:01:48,52.51 M,1.98 G,1.50 K,1.12 K
2019-06-08 00:01:50,52.51 M,1.98 G,0.00 B,768.00 B
2019-06-08 00:01:52,52.51 M,1.98 G,4.51 K,315.54 K
2019-06-08 00:01:54,52.51 M,1.98 G,0.00 B,288.00 B
2019-06-08 00:01:56,52.51 M,1.98 G,0.00 B,168.00 B
2019-06-08 00:01:59,52.51 M,1.98 G,0.00 B,120.00 B
2019-06-08 00:02:01,52.51 M,1.98 G,1.74 K,64.65 K
2019-06-08 00:02:04,52.52 M,1.98 G,0.00 B,1.91 K
2019-06-08 00:02:06,52.52 M,1.98 G,0.00 B,1.58 K
2019-06-08 00:02:08,52.52 M,1.98 G,0.00 B,1.32 K
2019-06-08 00:02:10,52.52 M,1.98 G,0.00 B,1.11 K
2019-06-08 00:02:12,52.53 M,1.98 G,6.90 K,355.77 K
2019-06-08 00:02:14,52.53 M,1.98 G,0.00 B,864.00 B
