query,time,httpCalls,serverTime,importTime,exportTime,errors
query_2502,3.967090661,1,3.803466237,3.0508041381835938,4.76837158203125E-4,0
query_2523,3.867450271,1,3.579289491,5.391836166381836,7.152557373046875E-4,0
query_2548,4.863478901,1,4.678927111,8.845329284667969,4.76837158203125E-4,0
query_2570,4.372548367,1,4.221805315,6.464719772338867,2.384185791015625E-4,0
query_3306,4.049979744,1,3.887533841,4.43577766418457,2.384185791015625E-4,0
query_3704,4.101556471,1,3.942454744,4.717826843261719,2.384185791015625E-4,0
query_3705,17.966951575,5,3.4360782112,0.7208824157714844,0.024175643920898438,0
query_3706,3.253594399,1,3.066448787,4.602909088134766,4.76837158203125E-4,0
query_3709,5.309048599,1,5.128326345,3.1392574310302734,2.384185791015625E-4,0
query_370,4.290655019,1,4.126572119,3.7674903869628906,7.152557373046875E-4,0
query_3710,3.913388782,1,3.748603153,3.3690929412841797,2.384185791015625E-4,0
query_3711,4.450592734,1,4.061353015,6.826877593994141,4.76837158203125E-4,0
query_3713,79.867814558,19,4.026874042105264,0.40017931084883834,0.029501162077251234,0
query_3714,3.469739734,1,3.311314105,10.101318359375,7.152557373046875E-4,0
query_3716,4.604249259,1,4.429713878,7.992982864379883,4.76837158203125E-4,0
query_3719,3.975958933,1,3.794709998,5.470514297485352,0.009059906005859375,0
query_3724,89.018135472,16,5.452226931000001,0.83141028881073,0.047832727432250984,0
query_3726,5.168212768,1,4.985709556,8.647680282592773,4.76837158203125E-4,0
query_3727,5.550518375,1,5.314875116,8.919715881347656,4.76837158203125E-4,0
query_372,4.33578232,1,3.897808292,5.370616912841797,9.5367431640625E-4,0
query_3730,4.069750453,1,3.907309843,4.594087600708008,4.76837158203125E-4,0
query_3731,3.976306752,1,3.805829996,3.849506378173828,4.76837158203125E-4,0
query_3732,3.985713861,1,3.817016522,3.998994827270508,7.152557373046875E-4,0
query_3734,3.817648732,1,3.505724403,6.633996963500977,4.76837158203125E-4,0
query_3736,4.108878394,1,3.894259808,4.480600357055664,2.384185791015625E-4,0
query_3737,3.808285353,1,3.618877087,11.004924774169922,4.76837158203125E-4,0
query_3739,3.990291469,1,3.803369747,8.063793182373047,4.76837158203125E-4,0
query_3741,54.412260154,12,4.348940206583333,0.5435943603515625,0.028153260548909504,0
query_3742,3.98874365,1,3.787768079,8.212566375732422,4.76837158203125E-4,0
query_3744,3.039283411,1,2.871358816,2.997159957885742,2.384185791015625E-4,0
query_3746,3.783424699,1,3.624490196,2.4678707122802734,4.76837158203125E-4,0
query_3749,4.096852421,1,3.834066099,7.5435638427734375,4.76837158203125E-4,0
query_374,4.442740198,1,4.183838028,4.057407379150391,7.152557373046875E-4,0
query_3750,3.791050845,1,3.624318619,4.258871078491211,2.384185791015625E-4,0
query_3751,4.105669229,1,3.912337717,5.090951919555664,4.76837158203125E-4,0
query_3753,4.179122219,1,4.025729523,2.8066635131835938,2.384185791015625E-4,0
query_3754,3.957809725,1,3.80347497,4.679203033447266,2.384185791015625E-4,0
query_3755,4.616781036,1,4.421153821,3.6847591400146484,2.384185791015625E-4,0
query_3756,10.024116614,2,4.928070062,2.620816230773926,0.026702880859375,0
query_3757,51.235212138,12,4.086280977416666,0.5107720692952474,0.028053919474283852,0
query_3758,2.422089324,1,2.263107549,4.602670669555664,2.384185791015625E-4,0
query_3759,4.354834239,1,4.083822424,5.057573318481445,4.76837158203125E-4,0
query_375,3.575101353,1,3.418710691,4.4116973876953125,4.76837158203125E-4,0
query_3760,3.737753367,1,3.564790583,4.487514495849609,2.384185791015625E-4,0
query_3761,4.499816166,1,4.297453983,5.615472793579102,2.384185791015625E-4,0
query_3762,4.439343773,1,4.223549765,6.903409957885742,7.152557373046875E-4,0
query_3764,4.036095191,1,3.753436137,7.225990295410156,7.152557373046875E-4,0
query_3765,3.927935477,1,3.703154162,5.237340927124023,7.152557373046875E-4,0
query_3766,4.484584793,1,4.193768311,7.7457427978515625,2.384185791015625E-4,0
query_3768,3.275866471,1,3.124214511,8.765935897827148,2.384185791015625E-4,0
query_3769,4.104926812,1,3.917211492,9.797096252441406,4.76837158203125E-4,0
query_376,3.652544401,1,3.492315311,1.9161701202392578,2.384185791015625E-4,0
query_3770,9.663470164,2,4.5408338375,4.743099212646484,0.0209808349609375,0
query_3771,21.317577474,5,4.1059070457999995,0.7839202880859375,0.023317337036132812,0
query_3772,7.530657633,2,3.5416818155,2.037167549133301,0.02205371856689453,0
query_3773,3.594900863,1,3.43088946,6.544828414916992,2.384185791015625E-4,0
query_3774,4.426882902,1,4.253495612,6.893396377563477,2.384185791015625E-4,0
query_3775,4.082522802,1,3.923637846,4.869699478149414,4.76837158203125E-4,0
query_3776,8.830517633,2,4.159136158,1.9311904907226562,0.019073486328125,0
query_3777,3.496724009,1,3.328465206,2.7344226837158203,2.384185791015625E-4,0
query_3778,3.532429145,1,3.371999713,4.724264144897461,4.76837158203125E-4,0
query_3779,2.621588691,1,2.447027703,4.483699798583984,2.384185791015625E-4,0
query_377,3.204998559,1,3.03321758,5.735874176025391,4.76837158203125E-4,0
query_3780,3.46782136,1,3.317768344,4.501104354858398,2.384185791015625E-4,0
query_3782,3.59895823,1,3.434087718,2.7725696563720703,2.384185791015625E-4,0
query_3783,3.471774645,1,3.308108195,3.941059112548828,4.76837158203125E-4,0
query_3784,3.853647848,1,3.683947561,5.390167236328125,4.76837158203125E-4,0
query_3786,1.827492376,1,1.636753507,3.4346580505371094,2.384185791015625E-4,0
query_3787,3.19974326,1,2.996390393,3.442049026489258,7.152557373046875E-4,0
query_3788,2.964214514,1,2.783626687,2.7112960815429688,2.384185791015625E-4,0
query_3789,4.202327539,1,4.002666559,9.2315673828125,4.76837158203125E-4,0
query_378,2.758804418,1,2.584335417,5.116462707519531,2.384185791015625E-4,0
