2019-06-22 15:09:41,10.51 M,427.99 M,193.00 B,405.00 B
2019-06-22 15:09:43,10.51 M,428.05 M,1.45 K,39.11 K
2019-06-22 15:09:45,10.51 M,428.07 M,1.05 K,19.66 K
2019-06-22 15:09:47,10.55 M,429.93 M,35.30 K,1.53 M
2019-06-22 15:09:49,10.62 M,433.02 M,35.24 K,1.55 M
2019-06-22 15:09:51,10.70 M,436.42 M,41.53 K,1.82 M
2019-06-22 15:09:53,10.71 M,436.89 M,0.00 B,0.00 B
2019-06-22 15:09:55,10.71 M,436.89 M,0.00 B,0.00 B
2019-06-22 15:09:57,12.86 M,437.40 M,1.63 M,207.81 K
2019-06-22 15:09:59,16.97 M,437.66 M,2.23 M,113.93 K
2019-06-22 15:10:01,19.76 M,437.75 M,676.30 K,19.43 K
2019-06-22 15:10:03,20.88 M,437.76 M,541.10 K,5.57 K
2019-06-22 15:10:05,22.00 M,437.77 M,473.67 K,5.72 K
2019-06-22 15:10:07,22.86 M,437.78 M,405.78 K,3.95 K
2019-06-22 15:10:09,23.79 M,437.79 M,473.28 K,4.69 K
2019-06-22 15:10:11,24.84 M,437.80 M,541.18 K,5.37 K
2019-06-22 15:10:13,25.97 M,437.81 M,607.90 K,5.86 K
2019-06-22 15:10:15,27.15 M,437.82 M,607.48 K,5.86 K
2019-06-22 15:10:17,28.21 M,437.83 M,539.80 K,5.05 K
2019-06-22 15:10:19,29.07 M,437.84 M,405.62 K,4.01 K
2019-06-22 15:10:21,29.93 M,437.85 M,474.22 K,5.34 K
2019-06-22 15:10:23,30.72 M,437.86 M,405.70 K,4.27 K
2019-06-22 15:10:25,31.44 M,437.87 M,338.34 K,3.91 K
2019-06-22 15:10:27,32.17 M,437.88 M,338.26 K,4.06 K
2019-06-22 15:10:29,32.90 M,437.89 M,406.44 K,5.36 K
2019-06-22 15:10:31,33.49 M,437.90 M,270.63 K,3.75 K
2019-06-22 15:10:33,34.09 M,437.90 M,271.45 K,4.33 K
2019-06-22 15:10:35,34.68 M,437.91 M,338.51 K,4.56 K
2019-06-22 15:10:37,35.08 M,437.92 M,135.64 K,2.20 K
2019-06-22 15:10:39,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:10:41,35.08 M,437.92 M,0.00 B,60.00 B
2019-06-22 15:10:43,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:10:45,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:10:47,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:10:49,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:10:51,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:10:53,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:10:55,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:10:57,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:10:59,35.08 M,437.92 M,0.00 B,0.00 B
2019-06-22 15:11:01,35.08 M,437.93 M,0.00 B,12.38 K
2019-06-22 15:11:03,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:05,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:07,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:09,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:11,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:13,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:15,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:17,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:19,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:21,35.08 M,437.93 M,0.00 B,0.00 B
2019-06-22 15:11:23,35.08 M,437.93 M,0.00 B,60.00 B
2019-06-22 15:11:25,35.08 M,437.93 M,204.00 B,138.00 B
2019-06-22 15:11:27,35.08 M,437.93 M,42.00 B,60.00 B
