queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,Q13.txt,392,1,1,0,2544,0,11533,12603,3
2,Q5.txt,48,1,1,0,194750,0,18382,138580,0
3,Q10.txt,31,0,0,0,0,0,284,1800313,42087
4,Q8.txt,33,1,1,17,18344556,0,94,40377,539113
5,Q3.txt,34,0,0,0,0,0,74,89,0
6,Q14.txt,32,0,0,0,0,0,109,1800307,1910
7,Q2.txt,30,0,0,0,0,0,143,1800751,289399
8,Q9.txt,32,1,1,2,3442068,0,191,9099,15855
9,Q7.txt,27,1,1,17,18344556,0,59,38505,539113
10,Q11.txt,26,1,1,2,3688630,0,108,17888,178302
11,Q12.txt,27,1,1,3,3800308,0,94,7434,44795
12,Q4.txt,28,0,0,0,0,0,132,1800316,113668
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
7,7,41,47817412,1800288,7474474
