queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,Q13.txt,286,1,1,0,2544,0,11497,12390,3
2,Q5.txt,36,1,1,0,194750,0,18489,132866,0
3,Q10.txt,31,0,0,0,0,0,118,1800187,45240
4,Q8.txt,49,1,1,17,18344556,0,2006,37951,539113
5,Q3.txt,25,0,0,0,0,0,47,56,0
6,Q14.txt,24,0,0,0,0,0,81,1806327,1324
7,Q2.txt,46,0,0,0,0,0,147,1800172,261999
8,Q9.txt,30,1,1,2,3442068,0,410,8560,15855
9,Q7.txt,24,1,1,17,18344556,0,63,34007,539113
10,Q11.txt,25,1,1,2,3688630,0,123,15827,178302
11,Q12.txt,27,1,1,3,3800308,0,96,6239,44795
12,Q4.txt,24,0,0,0,0,0,98,1801069,76839
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
7,7,41,47817412,1801045,7463856
