2019-06-16 22:46:28,1.65 G,9.42 G,10.03 K,405.43 K
2019-06-16 22:46:30,1.65 G,9.42 G,204.00 B,138.00 B
2019-06-16 22:46:32,1.65 G,9.42 G,8.24 K,477.50 K
2019-06-16 22:46:34,1.65 G,9.42 G,0.00 B,0.00 B
2019-06-16 22:46:36,1.65 G,9.42 G,17.85 K,1.44 M
2019-06-16 22:46:38,1.65 G,9.42 G,0.00 B,0.00 B
2019-06-16 22:46:40,1.65 G,9.42 G,0.00 B,0.00 B
2019-06-16 22:46:42,1.65 G,9.42 G,23.67 K,2.10 M
2019-06-16 22:46:44,1.65 G,9.42 G,0.00 B,0.00 B
2019-06-16 22:46:46,1.65 G,9.43 G,0.00 B,0.00 B
2019-06-16 22:46:48,1.65 G,9.43 G,0.00 B,0.00 B
2019-06-16 22:46:50,1.65 G,9.43 G,12.37 K,660.23 K
2019-06-16 22:46:52,1.65 G,9.43 G,0.00 B,60.00 B
2019-06-16 22:46:54,1.65 G,9.43 G,66.00 B,0.00 B
2019-06-16 22:46:56,1.65 G,9.43 G,5.38 K,195.00 K
2019-06-16 22:46:58,1.65 G,9.43 G,0.00 B,0.00 B
2019-06-16 22:47:00,1.65 G,9.43 G,27.94 K,2.40 M
2019-06-16 22:47:02,1.65 G,9.43 G,726.00 B,64.04 K
2019-06-16 22:47:04,1.65 G,9.43 G,193.00 B,345.00 B
2019-06-16 22:47:06,1.65 G,9.44 G,14.88 K,1.25 M
2019-06-16 22:47:08,1.65 G,9.44 G,0.00 B,0.00 B
2019-06-16 22:47:10,1.65 G,9.44 G,0.00 B,0.00 B
2019-06-16 22:47:12,1.65 G,9.44 G,0.00 B,0.00 B
2019-06-16 22:47:14,1.65 G,9.44 G,50.00 B,60.00 B
2019-06-16 22:47:16,1.65 G,9.44 G,6.42 K,200.52 K
2019-06-16 22:47:18,1.65 G,9.44 G,0.00 B,0.00 B
2019-06-16 22:47:20,1.65 G,9.44 G,14.52 K,1.29 M
2019-06-16 22:47:22,1.65 G,9.44 G,0.00 B,0.00 B
2019-06-16 22:47:24,1.65 G,9.44 G,0.00 B,0.00 B
2019-06-16 22:47:26,1.65 G,9.44 G,0.00 B,60.00 B
2019-06-16 22:47:28,1.65 G,9.44 G,37.80 K,2.32 M
2019-06-16 22:47:30,1.65 G,9.44 G,0.00 B,0.00 B
2019-06-16 22:47:32,1.65 G,9.45 G,4.38 K,371.66 K
2019-06-16 22:47:34,1.65 G,9.45 G,15.41 K,1.17 M
2019-06-16 22:47:36,1.65 G,9.45 G,3.33 K,347.25 K
2019-06-16 22:47:38,1.65 G,9.45 G,17.24 K,772.89 K
2019-06-16 22:47:40,1.65 G,9.45 G,0.00 B,0.00 B
2019-06-16 22:47:42,1.65 G,9.45 G,0.00 B,0.00 B
2019-06-16 22:47:44,1.65 G,9.45 G,35.43 K,2.25 M
2019-06-16 22:47:46,1.65 G,9.45 G,0.00 B,0.00 B
2019-06-16 22:47:48,1.65 G,9.45 G,0.00 B,0.00 B
2019-06-16 22:47:50,1.65 G,9.45 G,0.00 B,0.00 B
2019-06-16 22:47:52,1.65 G,9.45 G,132.00 B,66.00 B
2019-06-16 22:47:54,1.65 G,9.46 G,0.00 B,0.00 B
2019-06-16 22:47:56,1.65 G,9.46 G,29.57 K,1.95 M
2019-06-16 22:47:58,1.65 G,9.46 G,95.60 K,1.95 M
2019-06-16 22:48:00,1.65 G,9.46 G,0.00 B,0.00 B
2019-06-16 22:48:02,1.65 G,9.46 G,0.00 B,0.00 B
2019-06-16 22:48:04,1.65 G,9.46 G,9.04 K,339.14 K
2019-06-16 22:48:06,1.65 G,9.46 G,0.00 B,0.00 B
2019-06-16 22:48:08,1.65 G,9.47 G,7.04 K,669.91 K
2019-06-16 22:48:10,1.65 G,9.47 G,13.88 K,597.50 K
2019-06-16 22:48:12,1.65 G,9.47 G,24.85 K,2.21 M
2019-06-16 22:48:14,1.65 G,9.47 G,0.00 B,60.00 B
2019-06-16 22:48:16,1.65 G,9.47 G,0.00 B,60.00 B
2019-06-16 22:48:18,1.65 G,9.47 G,0.00 B,0.00 B
2019-06-16 22:48:20,1.65 G,9.47 G,27.26 K,1.40 M
2019-06-16 22:48:22,1.65 G,9.47 G,0.00 B,0.00 B
2019-06-16 22:48:24,1.65 G,9.47 G,0.00 B,60.00 B
2019-06-16 22:48:26,1.65 G,9.47 G,0.00 B,0.00 B
2019-06-16 22:48:28,1.65 G,9.47 G,14.53 K,838.50 K
2019-06-16 22:48:30,1.65 G,9.47 G,6.20 K,264.08 K
2019-06-16 22:48:32,1.65 G,9.47 G,204.00 B,138.00 B
2019-06-16 22:48:34,1.65 G,9.47 G,0.00 B,60.00 B
2019-06-16 22:48:36,1.65 G,9.48 G,27.91 K,2.13 M
2019-06-16 22:48:38,1.65 G,9.48 G,24.53 K,2.37 M
2019-06-16 22:48:40,1.65 G,9.48 G,0.00 B,0.00 B
2019-06-16 22:48:42,1.65 G,9.48 G,28.58 K,2.29 M
2019-06-16 22:48:44,1.65 G,9.48 G,0.00 B,0.00 B
2019-06-16 22:48:46,1.65 G,9.48 G,0.00 B,0.00 B
2019-06-16 22:48:48,1.65 G,9.49 G,26.89 K,2.22 M
2019-06-16 22:48:50,1.65 G,9.49 G,0.00 B,0.00 B
2019-06-16 22:48:53,1.65 G,9.49 G,89.95 K,1.99 M
2019-06-16 22:48:55,1.65 G,9.49 G,66.00 B,243.00 B
2019-06-16 22:48:57,1.65 G,9.49 G,22.17 K,1.11 M
2019-06-16 22:48:59,1.65 G,9.49 G,0.00 B,0.00 B
2019-06-16 22:49:01,1.65 G,9.50 G,24.90 K,2.39 M
2019-06-16 22:49:03,1.65 G,9.50 G,0.00 B,0.00 B
2019-06-16 22:49:05,1.65 G,9.50 G,3.22 K,309.29 K
2019-06-16 22:49:07,1.65 G,9.50 G,14.18 K,1015.60 K
2019-06-16 22:49:09,1.65 G,9.50 G,0.00 B,0.00 B
2019-06-16 22:49:11,1.65 G,9.50 G,12.09 K,384.79 K
2019-06-16 22:49:13,1.65 G,9.50 G,12.29 K,380.37 K
2019-06-16 22:49:15,1.65 G,9.50 G,0.00 B,0.00 B
2019-06-16 22:49:17,1.65 G,9.50 G,0.00 B,0.00 B
2019-06-16 22:49:19,1.65 G,9.50 G,30.14 K,1.58 M
2019-06-16 22:49:21,1.65 G,9.51 G,96.00 K,1.98 M
2019-06-16 22:49:23,1.65 G,9.51 G,15.50 K,332.67 K
2019-06-16 22:49:25,1.65 G,9.51 G,0.00 B,0.00 B
2019-06-16 22:49:27,1.65 G,9.51 G,0.00 B,0.00 B
2019-06-16 22:49:29,1.65 G,9.51 G,98.52 K,2.05 M
2019-06-16 22:49:31,1.65 G,9.52 G,79.32 K,1.63 M
2019-06-16 22:49:33,1.65 G,9.52 G,0.00 B,0.00 B
2019-06-16 22:49:35,1.65 G,9.52 G,204.00 B,138.00 B
2019-06-16 22:49:37,1.65 G,9.52 G,31.44 K,1.56 M
2019-06-16 22:49:39,1.65 G,9.52 G,0.00 B,0.00 B
2019-06-16 22:49:41,1.65 G,9.52 G,0.00 B,0.00 B
2019-06-16 22:49:43,1.65 G,9.52 G,0.00 B,0.00 B
2019-06-16 22:49:45,1.65 G,9.52 G,9.48 K,444.82 K
2019-06-16 22:49:47,1.65 G,9.52 G,0.00 B,0.00 B
2019-06-16 22:49:49,1.65 G,9.52 G,0.00 B,0.00 B
2019-06-16 22:49:51,1.65 G,9.52 G,26.33 K,1.40 M
2019-06-16 22:49:53,1.65 G,9.52 G,0.00 B,0.00 B
2019-06-16 22:49:55,1.65 G,9.52 G,0.00 B,0.00 B
2019-06-16 22:49:57,1.65 G,9.52 G,0.00 B,0.00 B
2019-06-16 22:49:59,1.65 G,9.52 G,23.72 K,1.48 M
2019-06-16 22:50:01,1.65 G,9.52 G,50.00 B,60.00 B
2019-06-16 22:50:03,1.65 G,9.52 G,0.00 B,60.00 B
2019-06-16 22:50:05,1.65 G,9.52 G,66.00 B,0.00 B
2019-06-16 22:50:07,1.65 G,9.53 G,17.72 K,747.36 K
2019-06-16 22:50:09,1.65 G,9.53 G,42.00 B,60.00 B
2019-06-16 22:50:11,1.65 G,9.53 G,25.93 K,2.39 M
2019-06-16 22:50:13,1.65 G,9.53 G,0.00 B,0.00 B
2019-06-16 22:50:15,1.65 G,9.53 G,0.00 B,0.00 B
2019-06-16 22:50:17,1.65 G,9.53 G,14.29 K,952.06 K
2019-06-16 22:50:19,1.65 G,9.53 G,0.00 B,60.00 B
2019-06-16 22:50:21,1.65 G,9.53 G,7.96 K,711.51 K
2019-06-16 22:50:23,1.65 G,9.53 G,0.00 B,60.00 B
2019-06-16 22:50:25,1.65 G,9.53 G,2.94 K,72.79 K
2019-06-16 22:50:27,1.66 G,9.54 G,0.00 B,0.00 B
2019-06-16 22:50:29,1.66 G,9.54 G,0.00 B,0.00 B
2019-06-16 22:50:31,1.66 G,9.54 G,20.14 K,1.44 M
2019-06-16 22:50:33,1.66 G,9.54 G,0.00 B,0.00 B
2019-06-16 22:50:35,1.66 G,9.54 G,26.50 K,1.43 M
2019-06-16 22:50:37,1.66 G,9.54 G,0.00 B,0.00 B
2019-06-16 22:50:39,1.66 G,9.54 G,0.00 B,0.00 B
2019-06-16 22:50:41,1.66 G,9.54 G,150.00 B,120.00 B
2019-06-16 22:50:43,1.66 G,9.54 G,24.72 K,1.51 M
2019-06-16 22:50:45,1.66 G,9.54 G,0.00 B,60.00 B
2019-06-16 22:50:47,1.66 G,9.54 G,0.00 B,120.00 B
2019-06-16 22:50:49,1.66 G,9.54 G,25.02 K,1.13 M
