2019-06-07 23:29:34,20.71 G,110.87 G,6.68 K,226.14 K
2019-06-07 23:29:36,20.71 G,110.87 G,204.00 B,138.00 B
2019-06-07 23:29:38,20.71 G,110.87 G,33.28 K,1.53 M
2019-06-07 23:29:40,20.71 G,110.87 G,0.00 B,0.00 B
2019-06-07 23:29:42,20.71 G,110.87 G,0.00 B,0.00 B
2019-06-07 23:29:44,20.71 G,110.88 G,37.18 K,2.30 M
2019-06-07 23:29:46,20.71 G,110.88 G,0.00 B,0.00 B
2019-06-07 23:29:48,20.71 G,110.88 G,32.74 K,1.05 M
2019-06-07 23:29:50,20.71 G,110.88 G,0.00 B,0.00 B
2019-06-07 23:29:52,20.71 G,110.88 G,0.00 B,0.00 B
2019-06-07 23:29:54,20.71 G,110.88 G,29.99 K,1.40 M
2019-06-07 23:29:56,20.71 G,110.88 G,87.91 K,1.78 M
2019-06-07 23:29:58,20.71 G,110.88 G,0.00 B,0.00 B
2019-06-07 23:30:00,20.71 G,110.88 G,0.00 B,720.00 B
2019-06-07 23:30:02,20.71 G,110.89 G,31.57 K,1.51 M
2019-06-07 23:30:04,20.71 G,110.89 G,0.00 B,0.00 B
2019-06-07 23:30:06,20.71 G,110.89 G,0.00 B,0.00 B
2019-06-07 23:30:08,20.71 G,110.89 G,32.89 K,1.71 M
2019-06-07 23:30:10,20.71 G,110.89 G,42.00 B,60.00 B
2019-06-07 23:30:12,20.71 G,110.89 G,0.00 B,0.00 B
2019-06-07 23:30:14,20.71 G,110.89 G,0.00 B,0.00 B
2019-06-07 23:30:16,20.71 G,110.89 G,38.59 K,1.76 M
2019-06-07 23:30:18,20.71 G,110.89 G,0.00 B,0.00 B
2019-06-07 23:30:20,20.71 G,110.89 G,35.83 K,1.64 M
2019-06-07 23:30:22,20.71 G,110.89 G,0.00 B,0.00 B
2019-06-07 23:30:24,20.71 G,110.89 G,0.00 B,0.00 B
2019-06-07 23:30:26,20.71 G,110.89 G,8.51 K,560.07 K
2019-06-07 23:30:28,20.71 G,110.90 G,0.00 B,0.00 B
2019-06-07 23:30:30,20.71 G,110.90 G,68.64 K,1.53 M
2019-06-07 23:30:32,20.71 G,110.90 G,0.00 B,0.00 B
2019-06-07 23:30:34,20.71 G,110.90 G,2.77 K,254.24 K
2019-06-07 23:30:36,20.71 G,110.90 G,17.91 K,1.15 M
2019-06-07 23:30:38,20.71 G,110.90 G,0.00 B,0.00 B
2019-06-07 23:30:41,20.71 G,110.90 G,49.87 K,1.12 M
2019-06-07 23:30:43,20.71 G,110.90 G,84.00 B,120.00 B
2019-06-07 23:30:45,20.71 G,110.91 G,27.50 K,2.40 M
2019-06-07 23:30:47,20.71 G,110.91 G,3.16 K,283.59 K
2019-06-07 23:30:49,20.71 G,110.91 G,0.00 B,60.00 B
2019-06-07 23:30:51,20.71 G,110.91 G,0.00 B,0.00 B
2019-06-07 23:30:53,20.71 G,110.91 G,0.00 B,0.00 B
2019-06-07 23:30:55,20.71 G,110.91 G,26.04 K,2.41 M
2019-06-07 23:30:57,20.71 G,110.92 G,3.67 K,378.97 K
2019-06-07 23:30:59,20.71 G,110.92 G,0.00 B,0.00 B
2019-06-07 23:31:01,20.71 G,110.92 G,23.80 K,1.25 M
2019-06-07 23:31:03,20.71 G,110.92 G,0.00 B,60.00 B
2019-06-07 23:31:05,20.71 G,110.92 G,0.00 B,60.00 B
2019-06-07 23:31:07,20.71 G,110.92 G,9.11 K,845.82 K
2019-06-07 23:31:09,20.71 G,110.92 G,12.58 K,593.13 K
2019-06-07 23:31:11,20.71 G,110.92 G,0.00 B,0.00 B
2019-06-07 23:31:13,20.71 G,110.92 G,22.25 K,2.15 M
2019-06-07 23:31:15,20.71 G,110.92 G,0.00 B,0.00 B
2019-06-07 23:31:17,20.71 G,110.92 G,11.08 K,799.99 K
2019-06-07 23:31:19,20.71 G,110.92 G,0.00 B,0.00 B
2019-06-07 23:31:21,20.71 G,110.92 G,0.00 B,0.00 B
2019-06-07 23:31:23,20.71 G,110.93 G,0.00 B,0.00 B
2019-06-07 23:31:25,20.71 G,110.93 G,0.00 B,0.00 B
2019-06-07 23:31:27,20.71 G,110.93 G,12.48 K,689.26 K
2019-06-07 23:31:29,20.71 G,110.93 G,0.00 B,0.00 B
2019-06-07 23:31:31,20.71 G,110.93 G,4.79 K,361.57 K
2019-06-07 23:31:33,20.71 G,110.93 G,13.30 K,905.03 K
2019-06-07 23:31:35,20.71 G,110.93 G,0.00 B,0.00 B
2019-06-07 23:31:37,20.71 G,110.93 G,0.00 B,0.00 B
2019-06-07 23:31:39,20.71 G,110.93 G,51.62 K,1.19 M
2019-06-07 23:31:41,20.71 G,110.93 G,0.00 B,0.00 B
2019-06-07 23:31:43,20.71 G,110.93 G,45.03 K,950.02 K
2019-06-07 23:31:45,20.71 G,110.93 G,0.00 B,0.00 B
2019-06-07 23:31:47,20.71 G,110.94 G,33.91 K,725.15 K
2019-06-07 23:31:49,20.71 G,110.94 G,9.58 K,300.08 K
2019-06-07 23:31:51,20.71 G,110.94 G,27.17 K,2.37 M
2019-06-07 23:31:53,20.71 G,110.94 G,0.00 B,0.00 B
2019-06-07 23:31:55,20.71 G,110.94 G,0.00 B,0.00 B
2019-06-07 23:31:57,20.71 G,110.94 G,0.00 B,0.00 B
2019-06-07 23:31:59,20.71 G,110.94 G,5.92 K,226.17 K
2019-06-07 23:32:01,20.71 G,110.94 G,0.00 B,60.00 B
2019-06-07 23:32:03,20.71 G,110.95 G,30.49 K,2.40 M
2019-06-07 23:32:05,20.71 G,110.95 G,0.00 B,0.00 B
2019-06-07 23:32:07,20.71 G,110.95 G,0.00 B,0.00 B
2019-06-07 23:32:09,20.71 G,110.95 G,12.31 K,508.98 K
2019-06-07 23:32:11,20.71 G,110.95 G,0.00 B,0.00 B
2019-06-07 23:32:13,20.71 G,110.95 G,0.00 B,0.00 B
2019-06-07 23:32:15,20.71 G,110.95 G,19.32 K,1.28 M
2019-06-07 23:32:17,20.71 G,110.95 G,0.00 B,0.00 B
2019-06-07 23:32:19,20.71 G,110.95 G,0.00 B,0.00 B
2019-06-07 23:32:21,20.71 G,110.95 G,7.50 K,221.73 K
2019-06-07 23:32:23,20.71 G,110.95 G,4.32 K,139.81 K
2019-06-07 23:32:25,20.71 G,110.96 G,93.46 K,2.00 M
2019-06-07 23:32:27,20.71 G,110.96 G,91.74 K,1.92 M
2019-06-07 23:32:29,20.71 G,110.96 G,0.00 B,0.00 B
2019-06-07 23:32:31,20.71 G,110.96 G,25.26 K,1.42 M
2019-06-07 23:32:33,20.71 G,110.96 G,0.00 B,0.00 B
2019-06-07 23:32:35,20.71 G,110.96 G,0.00 B,0.00 B
2019-06-07 23:32:37,20.71 G,110.96 G,63.75 K,1.49 M
2019-06-07 23:32:39,20.71 G,110.96 G,0.00 B,0.00 B
2019-06-07 23:32:41,20.71 G,110.96 G,0.00 B,60.00 B
2019-06-07 23:32:43,20.71 G,110.96 G,42.00 B,60.00 B
2019-06-07 23:32:45,20.71 G,110.96 G,84.00 B,120.00 B
2019-06-07 23:32:47,20.71 G,110.97 G,0.00 B,0.00 B
2019-06-07 23:32:49,20.71 G,110.97 G,25.91 K,1.53 M
2019-06-07 23:32:51,20.71 G,110.97 G,0.00 B,0.00 B
2019-06-07 23:32:53,20.71 G,110.97 G,0.00 B,0.00 B
2019-06-07 23:32:55,20.71 G,110.97 G,0.00 B,0.00 B
2019-06-07 23:32:57,20.71 G,110.97 G,56.21 K,1.36 M
2019-06-07 23:32:59,20.71 G,110.97 G,0.00 B,0.00 B
2019-06-07 23:33:01,20.71 G,110.97 G,23.64 K,1.86 M
2019-06-07 23:33:03,20.71 G,110.98 G,24.32 K,2.41 M
2019-06-07 23:33:05,20.71 G,110.98 G,0.00 B,0.00 B
2019-06-07 23:33:07,20.71 G,110.98 G,0.00 B,0.00 B
2019-06-07 23:33:09,20.71 G,110.98 G,0.00 B,0.00 B
2019-06-07 23:33:11,20.71 G,110.98 G,8.71 K,526.29 K
2019-06-07 23:33:13,20.71 G,110.98 G,0.00 B,0.00 B
2019-06-07 23:33:15,20.71 G,110.98 G,37.97 K,1.46 M
2019-06-07 23:33:17,20.71 G,110.98 G,0.00 B,0.00 B
2019-06-07 23:33:19,20.71 G,110.98 G,0.00 B,0.00 B
2019-06-07 23:33:22,20.71 G,110.98 G,5.44 K,459.95 K
2019-06-07 23:33:24,20.71 G,110.98 G,0.00 B,0.00 B
2019-06-07 23:33:26,20.71 G,110.98 G,1.37 K,22.11 K
2019-06-07 23:33:28,20.71 G,110.99 G,0.00 B,0.00 B
2019-06-07 23:33:30,20.71 G,110.99 G,0.00 B,0.00 B
2019-06-07 23:33:32,20.71 G,110.99 G,5.71 K,166.72 K
2019-06-07 23:33:34,20.71 G,110.99 G,0.00 B,0.00 B
2019-06-07 23:33:36,20.71 G,110.99 G,0.00 B,0.00 B
2019-06-07 23:33:38,20.71 G,110.99 G,41.55 K,2.34 M
2019-06-07 23:33:40,20.71 G,110.99 G,95.16 K,1.98 M
2019-06-07 23:33:42,20.71 G,111.00 G,94.70 K,1.95 M
2019-06-07 23:33:44,20.71 G,111.00 G,0.00 B,0.00 B
2019-06-07 23:33:46,20.71 G,111.00 G,19.85 K,1.38 M
2019-06-07 23:33:48,20.71 G,111.00 G,0.00 B,0.00 B
2019-06-07 23:33:50,20.71 G,111.00 G,96.81 K,2.00 M
2019-06-07 23:33:52,20.71 G,111.00 G,0.00 B,0.00 B
2019-06-07 23:33:54,20.71 G,111.01 G,79.03 K,2.05 M
2019-06-07 23:33:56,20.71 G,111.01 G,90.74 K,1.91 M
2019-06-07 23:33:58,20.71 G,111.01 G,92.22 K,1.95 M
2019-06-07 23:34:00,20.71 G,111.01 G,0.00 B,720.00 B
2019-06-07 23:34:02,20.71 G,111.01 G,0.00 B,0.00 B
2019-06-07 23:34:04,20.71 G,111.01 G,18.23 K,773.49 K
2019-06-07 23:34:06,20.71 G,111.01 G,0.00 B,0.00 B
2019-06-07 23:34:08,20.71 G,111.01 G,0.00 B,0.00 B
2019-06-07 23:34:10,20.71 G,111.02 G,30.63 K,2.42 M
2019-06-07 23:34:12,20.71 G,111.02 G,0.00 B,0.00 B
2019-06-07 23:34:14,20.71 G,111.02 G,11.14 K,869.42 K
2019-06-07 23:34:16,20.71 G,111.02 G,42.00 B,120.00 B
2019-06-07 23:34:18,20.71 G,111.02 G,0.00 B,0.00 B
2019-06-07 23:34:20,20.71 G,111.02 G,0.00 B,0.00 B
2019-06-07 23:34:22,20.71 G,111.02 G,24.55 K,971.13 K
2019-06-07 23:34:24,20.71 G,111.03 G,14.00 K,1.39 M
2019-06-07 23:34:26,20.71 G,111.03 G,0.00 B,0.00 B
2019-06-07 23:34:28,20.71 G,111.03 G,0.00 B,60.00 B
2019-06-07 23:34:30,20.71 G,111.03 G,132.00 B,66.00 B
2019-06-07 23:34:32,20.71 G,111.03 G,15.43 K,1.28 M
2019-06-07 23:34:34,20.71 G,111.03 G,0.00 B,0.00 B
2019-06-07 23:34:36,20.72 G,111.03 G,93.57 K,1.97 M
2019-06-07 23:34:38,20.72 G,111.03 G,91.33 K,1.95 M
2019-06-07 23:34:40,20.72 G,111.04 G,0.00 B,0.00 B
2019-06-07 23:34:42,20.72 G,111.04 G,132.00 B,66.00 B
2019-06-07 23:34:44,20.72 G,111.04 G,21.68 K,631.56 K
2019-06-07 23:34:46,20.72 G,111.04 G,0.00 B,0.00 B
2019-06-07 23:34:48,20.72 G,111.04 G,12.44 K,661.00 K
2019-06-07 23:34:50,20.72 G,111.04 G,0.00 B,0.00 B
2019-06-07 23:34:52,20.72 G,111.04 G,37.30 K,807.49 K
2019-06-07 23:34:54,20.72 G,111.04 G,6.39 K,290.17 K
2019-06-07 23:34:56,20.72 G,111.04 G,0.00 B,0.00 B
2019-06-07 23:34:58,20.72 G,111.04 G,0.00 B,0.00 B
2019-06-07 23:35:00,20.72 G,111.04 G,5.00 K,167.05 K
2019-06-07 23:35:02,20.72 G,111.04 G,9.96 K,552.97 K
2019-06-07 23:35:04,20.72 G,111.05 G,1.22 K,110.96 K
2019-06-07 23:35:06,20.72 G,111.05 G,19.51 K,1.26 M
2019-06-07 23:35:08,20.72 G,111.05 G,9.30 K,712.42 K
2019-06-07 23:35:10,20.72 G,111.05 G,14.54 K,645.43 K
2019-06-07 23:35:12,20.72 G,111.05 G,0.00 B,0.00 B
2019-06-07 23:35:14,20.72 G,111.05 G,0.00 B,0.00 B
2019-06-07 23:35:16,20.72 G,111.05 G,80.07 K,1.83 M
