2019-06-07 23:29:23,5.74 G,36.44 G,8.41 K,370.10 K
2019-06-07 23:29:25,5.74 G,36.45 G,0.00 B,276.00 B
2019-06-07 23:29:27,5.74 G,36.45 G,17.46 K,776.98 K
2019-06-07 23:29:29,5.74 G,36.45 G,91.19 K,1.82 M
2019-06-07 23:29:31,5.74 G,36.45 G,86.40 K,1.74 M
2019-06-07 23:29:33,5.74 G,36.45 G,0.00 B,876.00 B
2019-06-07 23:29:35,5.74 G,36.45 G,0.00 B,1.32 K
2019-06-07 23:29:37,5.74 G,36.46 G,34.19 K,2.15 M
2019-06-07 23:29:39,5.74 G,36.46 G,0.00 B,924.00 B
2019-06-07 23:29:41,5.74 G,36.46 G,0.00 B,1.07 K
2019-06-07 23:29:43,5.74 G,36.46 G,11.57 K,758.35 K
2019-06-07 23:29:45,5.74 G,36.46 G,0.00 B,1.14 K
2019-06-07 23:29:47,5.74 G,36.46 G,0.00 B,699.00 B
2019-06-07 23:29:49,5.74 G,36.46 G,66.00 B,552.00 B
2019-06-07 23:29:51,5.74 G,36.46 G,43.94 K,1.10 M
2019-06-07 23:29:53,5.74 G,36.46 G,14.51 K,307.96 K
2019-06-07 23:29:55,5.74 G,36.46 G,3.83 K,157.62 K
2019-06-07 23:29:57,5.74 G,36.46 G,0.00 B,384.00 B
2019-06-07 23:29:59,5.74 G,36.46 G,1.42 K,111.88 K
2019-06-07 23:30:01,5.74 G,36.47 G,24.90 K,1.18 M
2019-06-07 23:30:03,5.74 G,36.47 G,95.83 K,1.97 M
2019-06-07 23:30:05,5.74 G,36.47 G,1.09 K,24.01 K
2019-06-07 23:30:07,5.74 G,36.47 G,0.00 B,1.34 K
2019-06-07 23:30:09,5.74 G,36.47 G,0.00 B,1.27 K
2019-06-07 23:30:11,5.74 G,36.47 G,0.00 B,924.00 B
2019-06-07 23:30:13,5.74 G,36.47 G,14.91 K,1.08 M
2019-06-07 23:30:15,5.74 G,36.47 G,6.73 K,223.03 K
2019-06-07 23:30:17,5.74 G,36.47 G,0.00 B,612.00 B
2019-06-07 23:30:19,5.74 G,36.48 G,30.00 K,2.41 M
2019-06-07 23:30:21,5.74 G,36.48 G,0.00 B,60.00 B
2019-06-07 23:30:23,5.74 G,36.48 G,0.00 B,348.00 B
2019-06-07 23:30:25,5.74 G,36.48 G,19.68 K,1.47 M
2019-06-07 23:30:27,5.74 G,36.48 G,204.00 B,1.20 K
2019-06-07 23:30:29,5.74 G,36.48 G,0.00 B,552.00 B
