2019-07-17 23:20:07,22.22 G,321.07 G,249.52 K,1.12 M
2019-07-17 23:20:09,22.23 G,321.08 G,237.00 K,1.04 M
2019-07-17 23:20:11,22.23 G,321.08 G,220.47 K,1012.80 K
2019-07-17 23:20:13,22.23 G,321.08 G,223.84 K,1015.24 K
2019-07-17 23:20:15,22.23 G,321.08 G,235.79 K,1.06 M
2019-07-17 23:20:17,22.23 G,321.08 G,223.63 K,1.00 M
2019-07-17 23:20:19,22.23 G,321.09 G,236.14 K,1.07 M
2019-07-17 23:20:21,22.23 G,321.09 G,208.09 K,922.05 K
2019-07-17 23:20:23,22.23 G,321.09 G,213.27 K,984.82 K
2019-07-17 23:20:25,22.23 G,321.09 G,226.06 K,1.00 M
2019-07-17 23:20:27,22.23 G,321.09 G,219.34 K,1007.28 K
2019-07-17 23:20:29,22.23 G,321.10 G,222.34 K,1016.67 K
2019-07-17 23:20:31,22.23 G,321.10 G,243.67 K,1.11 M
2019-07-17 23:20:33,22.23 G,321.10 G,245.40 K,1.09 M
2019-07-17 23:20:35,22.23 G,321.10 G,229.68 K,1.03 M
2019-07-17 23:20:37,22.23 G,321.10 G,227.05 K,1.01 M
2019-07-17 23:20:39,22.23 G,321.11 G,213.35 K,996.19 K
2019-07-17 23:20:41,22.23 G,321.11 G,231.34 K,1.02 M
2019-07-17 23:20:43,22.23 G,321.11 G,227.15 K,1.02 M
2019-07-17 23:20:45,22.23 G,321.11 G,256.42 K,1.15 M
2019-07-17 23:20:47,22.23 G,321.11 G,273.43 K,1.21 M
2019-07-17 23:20:50,22.23 G,321.12 G,226.29 K,1015.73 K
2019-07-17 23:20:52,22.23 G,321.12 G,237.83 K,1.06 M
2019-07-17 23:20:54,22.23 G,321.12 G,231.99 K,1.03 M
2019-07-17 23:20:56,22.24 G,321.12 G,218.10 K,1013.00 K
2019-07-17 23:20:58,22.24 G,321.12 G,219.30 K,1023.91 K
2019-07-17 23:21:00,22.24 G,321.13 G,237.99 K,1.07 M
2019-07-17 23:21:02,22.24 G,321.13 G,213.81 K,964.17 K
2019-07-17 23:21:04,22.24 G,321.13 G,215.14 K,991.85 K
2019-07-17 23:21:06,22.24 G,321.13 G,229.19 K,1.01 M
2019-07-17 23:21:08,22.24 G,321.13 G,196.87 K,919.15 K
2019-07-17 23:21:10,22.24 G,321.13 G,231.21 K,1.03 M
2019-07-17 23:21:12,22.24 G,321.14 G,209.93 K,964.99 K
2019-07-17 23:21:14,22.24 G,321.14 G,194.01 K,892.14 K
