2019-06-14 19:38:39,21.51 G,317.12 G,4.63 K,48.80 K
2019-06-14 19:38:41,21.51 G,317.13 G,102.31 K,478.93 K
2019-06-14 19:38:43,21.51 G,317.13 G,212.32 K,1006.72 K
2019-06-14 19:38:45,21.51 G,317.13 G,236.64 K,1.10 M
2019-06-14 19:38:47,21.51 G,317.13 G,257.75 K,1.18 M
2019-06-14 19:38:49,21.51 G,317.13 G,269.27 K,1.24 M
2019-06-14 19:38:51,21.51 G,317.14 G,329.22 K,1.51 M
2019-06-14 19:38:53,21.51 G,317.14 G,311.92 K,1.43 M
2019-06-14 19:38:55,21.51 G,317.14 G,345.41 K,1.57 M
2019-06-14 19:38:57,21.51 G,317.15 G,324.00 K,1.48 M
2019-06-14 19:38:59,21.51 G,317.15 G,352.65 K,1.60 M
2019-06-14 19:39:01,21.52 G,317.15 G,378.49 K,1.72 M
2019-06-14 19:39:03,21.52 G,317.16 G,357.79 K,1.63 M
2019-06-14 19:39:05,21.52 G,317.16 G,319.57 K,1.47 M
2019-06-14 19:39:07,21.52 G,317.16 G,336.49 K,1.54 M
2019-06-14 19:39:09,21.52 G,317.16 G,349.21 K,1.59 M
2019-06-14 19:39:11,21.52 G,317.17 G,334.21 K,1.53 M
2019-06-14 19:39:13,21.52 G,317.17 G,315.67 K,1.45 M
2019-06-14 19:39:15,21.52 G,317.17 G,313.44 K,1.43 M
2019-06-14 19:39:17,21.52 G,317.18 G,324.02 K,1.48 M
2019-06-14 19:39:19,21.52 G,317.18 G,349.17 K,1.58 M
2019-06-14 19:39:21,21.52 G,317.18 G,310.95 K,1.43 M
2019-06-14 19:39:23,21.52 G,317.19 G,313.90 K,1.44 M
2019-06-14 19:39:25,21.52 G,317.19 G,342.75 K,1.57 M
2019-06-14 19:39:27,21.52 G,317.19 G,339.80 K,1.55 M
2019-06-14 19:39:29,21.52 G,317.19 G,332.75 K,1.51 M
2019-06-14 19:39:31,21.53 G,317.20 G,335.94 K,1.54 M
2019-06-14 19:39:33,21.53 G,317.20 G,333.72 K,1.51 M
2019-06-14 19:39:35,21.53 G,317.20 G,314.89 K,1.43 M
2019-06-14 19:39:37,21.53 G,317.21 G,339.12 K,1.55 M
2019-06-14 19:39:39,21.53 G,317.21 G,333.04 K,1.52 M
2019-06-14 19:39:41,21.53 G,317.21 G,311.17 K,1.43 M
2019-06-14 19:39:43,21.53 G,317.21 G,347.15 K,1.58 M
2019-06-14 19:39:45,21.53 G,317.22 G,310.34 K,1.43 M
2019-06-14 19:39:47,21.53 G,317.22 G,311.43 K,1.44 M
2019-06-14 19:39:49,21.53 G,317.22 G,362.05 K,1.64 M
2019-06-14 19:39:51,21.53 G,317.23 G,327.07 K,1.49 M
2019-06-14 19:39:53,21.53 G,317.23 G,292.40 K,1.35 M
2019-06-14 19:39:55,21.53 G,317.23 G,346.40 K,1.58 M
2019-06-14 19:39:57,21.53 G,317.24 G,327.90 K,1.51 M
2019-06-14 19:39:59,21.53 G,317.24 G,348.42 K,1.59 M
2019-06-14 19:40:01,21.53 G,317.24 G,338.94 K,1.54 M
2019-06-14 19:40:03,21.54 G,317.24 G,300.53 K,1.39 M
2019-06-14 19:40:05,21.54 G,317.25 G,312.48 K,1.44 M
2019-06-14 19:40:07,21.54 G,317.25 G,317.78 K,1.45 M
2019-06-14 19:40:09,21.54 G,317.25 G,91.67 K,432.15 K
2019-06-14 19:40:11,21.54 G,317.25 G,105.78 K,479.38 K
2019-06-14 19:40:13,21.54 G,317.25 G,180.34 K,847.86 K
2019-06-14 19:40:15,21.54 G,317.26 G,325.61 K,1.49 M
2019-06-14 19:40:17,21.54 G,317.26 G,83.97 K,375.36 K
2019-06-14 19:40:19,21.54 G,317.26 G,244.46 K,1.12 M
2019-06-14 19:40:21,21.54 G,317.26 G,342.85 K,1.57 M
2019-06-14 19:40:23,21.54 G,317.27 G,320.68 K,1.47 M
2019-06-14 19:40:25,21.54 G,317.27 G,242.42 K,1.10 M
2019-06-14 19:40:27,21.54 G,317.27 G,66.58 K,320.75 K
2019-06-14 19:40:29,21.54 G,317.27 G,354.58 K,1.60 M
2019-06-14 19:40:31,21.54 G,317.27 G,329.38 K,1.51 M
2019-06-14 19:40:33,21.54 G,317.28 G,336.04 K,1.53 M
2019-06-14 19:40:35,21.54 G,317.28 G,324.26 K,1.48 M
2019-06-14 19:40:37,21.54 G,317.28 G,336.73 K,1.53 M
2019-06-14 19:40:39,21.54 G,317.29 G,350.44 K,1.59 M
2019-06-14 19:40:41,21.54 G,317.29 G,353.91 K,1.60 M
2019-06-14 19:40:43,21.55 G,317.29 G,357.21 K,1.61 M
2019-06-14 19:40:45,21.55 G,317.30 G,332.68 K,1.52 M
2019-06-14 19:40:47,21.55 G,317.30 G,338.55 K,1.57 M
2019-06-14 19:40:49,21.55 G,317.30 G,302.14 K,1.39 M
2019-06-14 19:40:51,21.55 G,317.30 G,313.07 K,1.44 M
2019-06-14 19:40:53,21.55 G,317.31 G,301.36 K,1.38 M
2019-06-14 19:40:55,21.55 G,317.31 G,314.29 K,1.44 M
2019-06-14 19:40:57,21.55 G,317.31 G,317.45 K,1.45 M
2019-06-14 19:40:59,21.55 G,317.32 G,347.27 K,1.59 M
2019-06-14 19:41:01,21.55 G,317.32 G,290.01 K,1.33 M
2019-06-14 19:41:03,21.55 G,317.32 G,309.57 K,1.43 M
2019-06-14 19:41:05,21.55 G,317.32 G,330.45 K,1.52 M
2019-06-14 19:41:07,21.55 G,317.33 G,320.47 K,1.46 M
2019-06-14 19:41:09,21.55 G,317.33 G,308.88 K,1.41 M
2019-06-14 19:41:11,21.55 G,317.33 G,335.84 K,1.53 M
2019-06-14 19:41:13,21.55 G,317.34 G,339.44 K,1.54 M
2019-06-14 19:41:15,21.56 G,317.34 G,299.88 K,1.38 M
2019-06-14 19:41:17,21.56 G,317.34 G,345.69 K,1.58 M
2019-06-14 19:41:19,21.56 G,317.35 G,343.48 K,1.56 M
2019-06-14 19:41:21,21.56 G,317.35 G,320.69 K,1.46 M
2019-06-14 19:41:23,21.56 G,317.35 G,309.49 K,1.42 M
2019-06-14 19:41:25,21.56 G,317.35 G,336.50 K,1.53 M
2019-06-14 19:41:27,21.56 G,317.36 G,311.13 K,1.43 M
2019-06-14 19:41:29,21.56 G,317.36 G,334.78 K,1.52 M
2019-06-14 19:41:31,21.56 G,317.36 G,398.20 K,1.81 M
2019-06-14 19:41:33,21.56 G,317.37 G,299.02 K,1.38 M
2019-06-14 19:41:35,21.56 G,317.37 G,326.59 K,1.49 M
2019-06-14 19:41:37,21.56 G,317.37 G,345.56 K,1.57 M
2019-06-14 19:41:39,21.56 G,317.37 G,337.86 K,1.54 M
2019-06-14 19:41:41,21.56 G,317.38 G,264.17 K,1.23 M
2019-06-14 19:41:43,21.56 G,317.38 G,255.96 K,1.18 M
2019-06-14 19:41:45,21.56 G,317.38 G,272.35 K,1.25 M
2019-06-14 19:41:47,21.57 G,317.38 G,313.94 K,1.44 M
2019-06-14 19:41:49,21.57 G,317.39 G,259.25 K,1.19 M
2019-06-14 19:41:51,21.57 G,317.39 G,330.81 K,1.52 M
2019-06-14 19:41:54,21.57 G,317.39 G,403.34 K,1.78 M
2019-06-14 19:41:56,21.57 G,317.40 G,391.34 K,1.74 M
2019-06-14 19:41:58,21.57 G,317.40 G,418.04 K,1.84 M
2019-06-14 19:42:01,21.57 G,317.40 G,402.98 K,1.78 M
2019-06-14 19:42:03,21.57 G,317.41 G,396.92 K,1.75 M
2019-06-14 19:42:05,21.57 G,317.41 G,350.48 K,1.55 M
2019-06-14 19:42:09,21.57 G,317.42 G,385.44 K,1.70 M
2019-06-14 19:42:11,21.57 G,317.42 G,399.36 K,1.76 M
2019-06-14 19:42:13,21.57 G,317.42 G,394.49 K,1.74 M
2019-06-14 19:42:16,21.57 G,317.43 G,411.64 K,1.92 M
2019-06-14 19:42:18,21.57 G,317.43 G,408.32 K,1.90 M
2019-06-14 19:42:20,21.58 G,317.43 G,400.40 K,1.88 M
2019-06-14 19:42:22,21.58 G,317.44 G,411.27 K,1.89 M
2019-06-14 19:42:24,21.58 G,317.44 G,401.80 K,1.85 M
2019-06-14 19:42:26,21.58 G,317.44 G,408.16 K,1.88 M
2019-06-14 19:42:28,21.58 G,317.45 G,403.78 K,1.92 M
2019-06-14 19:42:30,21.58 G,317.45 G,414.70 K,1.93 M
2019-06-14 19:42:32,21.58 G,317.46 G,420.60 K,1.94 M
2019-06-14 19:42:35,21.58 G,317.46 G,403.89 K,1.88 M
2019-06-14 19:42:37,21.58 G,317.46 G,383.19 K,1.77 M
2019-06-14 19:42:39,21.58 G,317.47 G,107.09 K,488.34 K
2019-06-14 19:42:42,21.58 G,317.47 G,408.89 K,1.88 M
2019-06-14 19:42:47,21.58 G,317.48 G,276.50 K,1.96 M
2019-06-14 19:42:49,21.59 G,317.48 G,386.01 K,1.96 M
2019-06-14 19:42:51,21.59 G,317.48 G,384.89 K,2.03 M
2019-06-14 19:42:53,21.59 G,317.49 G,381.38 K,1.86 M
2019-06-14 19:42:55,21.59 G,317.49 G,392.98 K,1.97 M
2019-06-14 19:42:57,21.59 G,317.50 G,407.16 K,2.09 M
2019-06-14 19:42:59,21.59 G,317.50 G,375.02 K,1.99 M
2019-06-14 19:43:01,21.59 G,317.50 G,368.65 K,1.89 M
2019-06-14 19:43:03,21.59 G,317.51 G,383.24 K,2.09 M
2019-06-14 19:43:05,21.59 G,317.51 G,416.71 K,2.13 M
2019-06-14 19:43:08,21.59 G,317.52 G,396.19 K,2.01 M
2019-06-14 19:43:10,21.59 G,317.52 G,354.10 K,1.79 M
2019-06-14 19:43:12,21.59 G,317.52 G,371.57 K,1.89 M
2019-06-14 19:43:14,21.59 G,317.53 G,371.98 K,1.88 M
2019-06-14 19:43:16,21.59 G,317.53 G,400.25 K,1.96 M
2019-06-14 19:43:18,21.60 G,317.53 G,387.98 K,1.97 M
2019-06-14 19:43:20,21.60 G,317.54 G,373.33 K,1.99 M
2019-06-14 19:43:22,21.60 G,317.54 G,340.67 K,1.75 M
2019-06-14 19:43:24,21.60 G,317.55 G,385.56 K,2.00 M
2019-06-14 19:43:26,21.60 G,317.55 G,197.35 K,1.07 M
2019-06-14 19:43:28,21.60 G,317.55 G,379.70 K,1.89 M
2019-06-14 19:43:30,21.60 G,317.56 G,400.53 K,1.97 M
2019-06-14 19:43:32,21.60 G,317.56 G,389.95 K,2.01 M
2019-06-14 19:43:34,21.60 G,317.56 G,391.00 K,1.98 M
2019-06-14 19:43:36,21.60 G,317.57 G,410.95 K,2.06 M
2019-06-14 19:43:38,21.60 G,317.57 G,409.31 K,2.01 M
2019-06-14 19:43:40,21.60 G,317.58 G,351.77 K,2.01 M
2019-06-14 19:43:42,21.60 G,317.58 G,398.46 K,1.99 M
2019-06-14 19:43:44,21.60 G,317.58 G,396.81 K,1.99 M
2019-06-14 19:43:46,21.61 G,317.59 G,247.64 K,1.24 M
2019-06-14 19:43:55,21.61 G,317.59 G,444.18 K,1.96 M
2019-06-14 19:43:57,21.61 G,317.60 G,444.83 K,1.96 M
2019-06-14 19:43:59,21.61 G,317.60 G,439.92 K,1.94 M
2019-06-14 19:44:01,21.61 G,317.60 G,436.04 K,1.93 M
2019-06-14 19:44:03,21.61 G,317.61 G,458.37 K,2.02 M
2019-06-14 19:44:05,21.61 G,317.61 G,457.88 K,2.02 M
2019-06-14 19:44:07,21.61 G,317.62 G,428.52 K,1.89 M
2019-06-14 19:44:09,21.61 G,317.62 G,469.52 K,2.07 M
2019-06-14 19:44:11,21.61 G,317.62 G,429.44 K,1.90 M
2019-06-14 19:44:13,21.61 G,317.63 G,452.50 K,2.01 M
2019-06-14 19:44:15,21.62 G,317.63 G,438.06 K,1.94 M
2019-06-14 19:44:17,21.62 G,317.64 G,465.76 K,2.04 M
2019-06-14 19:44:19,21.62 G,317.64 G,453.85 K,2.00 M
2019-06-14 19:44:21,21.62 G,317.64 G,448.26 K,2.00 M
2019-06-14 19:44:23,21.62 G,317.65 G,452.96 K,2.00 M
2019-06-14 19:44:25,21.62 G,317.65 G,439.13 K,1.94 M
