2019-06-15 16:05:34,10.72 G,63.45 G,412.28 K,1.79 M
2019-06-15 16:05:38,10.72 G,63.46 G,444.38 K,2.07 M
2019-06-15 16:05:40,10.72 G,63.46 G,444.86 K,2.07 M
2019-06-15 16:05:42,10.72 G,63.46 G,451.29 K,2.10 M
2019-06-15 16:05:44,10.72 G,63.47 G,459.02 K,2.14 M
2019-06-15 16:05:47,10.72 G,63.47 G,498.66 K,2.13 M
2019-06-15 16:05:49,10.72 G,63.48 G,495.77 K,2.13 M
2019-06-15 16:05:51,10.72 G,63.48 G,507.06 K,2.18 M
2019-06-15 16:05:53,10.72 G,63.48 G,512.40 K,2.20 M
2019-06-15 16:05:55,10.72 G,63.49 G,497.02 K,2.12 M
2019-06-15 16:05:57,10.73 G,63.49 G,500.58 K,2.15 M
2019-06-15 16:05:59,10.73 G,63.50 G,493.59 K,2.12 M
2019-06-15 16:06:01,10.73 G,63.50 G,507.70 K,2.18 M
2019-06-15 16:06:03,10.73 G,63.51 G,508.01 K,2.18 M
2019-06-15 16:06:05,10.73 G,63.51 G,506.36 K,2.17 M
2019-06-15 16:06:07,10.73 G,63.51 G,503.22 K,2.15 M
2019-06-15 16:06:09,10.73 G,63.52 G,493.54 K,2.12 M
2019-06-15 16:06:11,10.73 G,63.52 G,458.67 K,1.96 M
2019-06-15 16:06:16,10.73 G,63.53 G,470.78 K,2.17 M
2019-06-15 16:06:18,10.73 G,63.53 G,468.62 K,2.16 M
2019-06-15 16:06:20,10.74 G,63.53 G,470.15 K,2.17 M
2019-06-15 16:06:22,10.74 G,63.54 G,466.45 K,2.16 M
2019-06-15 16:06:24,10.74 G,63.54 G,468.60 K,2.18 M
2019-06-15 16:06:26,10.74 G,63.55 G,470.24 K,2.17 M
2019-06-15 16:06:28,10.74 G,63.55 G,470.22 K,2.18 M
2019-06-15 16:06:30,10.74 G,63.56 G,469.03 K,2.16 M
2019-06-15 16:06:32,10.74 G,63.56 G,470.48 K,2.17 M
2019-06-15 16:06:34,10.74 G,63.56 G,464.02 K,2.15 M
2019-06-15 16:06:36,10.74 G,63.57 G,465.29 K,2.16 M
2019-06-15 16:06:38,10.74 G,63.57 G,471.34 K,2.18 M
2019-06-15 16:06:40,10.74 G,63.58 G,474.00 K,2.18 M
2019-06-15 16:06:42,10.74 G,63.58 G,427.57 K,1.97 M
2019-06-15 16:06:46,10.75 G,63.59 G,497.32 K,2.25 M
2019-06-15 16:06:48,10.75 G,63.59 G,489.46 K,2.20 M
2019-06-15 16:06:50,10.75 G,63.59 G,492.69 K,2.22 M
2019-06-15 16:06:52,10.75 G,63.60 G,441.76 K,1.99 M
2019-06-15 16:06:54,10.75 G,63.60 G,439.28 K,1.89 M
2019-06-15 16:06:56,10.75 G,63.61 G,465.17 K,1.98 M
2019-06-15 16:06:58,10.75 G,63.61 G,456.42 K,1.96 M
2019-06-15 16:07:00,10.75 G,63.61 G,471.75 K,2.04 M
2019-06-15 16:07:02,10.75 G,63.62 G,473.16 K,2.03 M
2019-06-15 16:07:04,10.75 G,63.62 G,472.74 K,2.02 M
2019-06-15 16:07:06,10.75 G,63.63 G,462.98 K,1.99 M
2019-06-15 16:07:08,10.76 G,63.63 G,465.40 K,2.00 M
2019-06-15 16:07:10,10.76 G,63.63 G,465.64 K,1.99 M
2019-06-15 16:07:12,10.76 G,63.64 G,408.61 K,1.74 M
2019-06-15 16:07:14,10.76 G,63.64 G,474.19 K,2.03 M
2019-06-15 16:07:16,10.76 G,63.64 G,464.28 K,1.98 M
2019-06-15 16:07:18,10.76 G,63.65 G,466.72 K,1.99 M
2019-06-15 16:07:20,10.76 G,63.65 G,474.26 K,2.01 M
2019-06-15 16:07:22,10.76 G,63.66 G,486.56 K,2.07 M
2019-06-15 16:07:24,10.76 G,63.66 G,475.18 K,2.02 M
2019-06-15 16:07:26,10.76 G,63.66 G,470.44 K,2.00 M
2019-06-15 16:07:28,10.76 G,63.67 G,473.31 K,2.01 M
2019-06-15 16:07:30,10.77 G,63.67 G,470.07 K,2.00 M
2019-06-15 16:07:32,10.77 G,63.68 G,478.81 K,2.04 M
2019-06-15 16:07:34,10.77 G,63.68 G,477.74 K,2.04 M
2019-06-15 16:07:36,10.77 G,63.68 G,474.09 K,2.02 M
2019-06-15 16:07:38,10.77 G,63.69 G,470.21 K,2.00 M
2019-06-15 16:07:40,10.77 G,63.69 G,448.18 K,1.92 M
2019-06-15 16:07:42,10.77 G,63.70 G,452.62 K,1.94 M
2019-06-15 16:07:44,10.77 G,63.70 G,471.34 K,2.00 M
2019-06-15 16:07:46,10.77 G,63.70 G,443.33 K,1.90 M
2019-06-15 16:07:48,10.77 G,63.71 G,453.80 K,1.95 M
2019-06-15 16:07:50,10.77 G,63.71 G,469.79 K,2.01 M
2019-06-15 16:07:52,10.78 G,63.71 G,471.26 K,2.00 M
2019-06-15 16:07:54,10.78 G,63.72 G,467.21 K,1.99 M
2019-06-15 16:07:56,10.78 G,63.72 G,456.98 K,1.95 M
2019-06-15 16:07:58,10.78 G,63.73 G,469.87 K,1.99 M
2019-06-15 16:08:00,10.78 G,63.73 G,486.67 K,2.08 M
2019-06-15 16:08:02,10.78 G,63.73 G,456.77 K,1.96 M
2019-06-15 16:08:04,10.78 G,63.74 G,467.15 K,1.99 M
2019-06-15 16:08:06,10.78 G,63.74 G,483.91 K,2.06 M
2019-06-15 16:08:08,10.78 G,63.75 G,464.22 K,1.98 M
2019-06-15 16:08:10,10.78 G,63.75 G,470.01 K,2.00 M
2019-06-15 16:08:12,10.78 G,63.75 G,464.32 K,1.97 M
2019-06-15 16:08:14,10.79 G,63.76 G,461.80 K,1.97 M
2019-06-15 16:08:16,10.79 G,63.76 G,464.87 K,1.99 M
2019-06-15 16:08:18,10.79 G,63.77 G,456.04 K,1.95 M
2019-06-15 16:08:20,10.79 G,63.77 G,466.02 K,1.99 M
2019-06-15 16:08:22,10.79 G,63.77 G,468.73 K,2.00 M
2019-06-15 16:08:24,10.79 G,63.78 G,481.35 K,2.04 M
2019-06-15 16:08:26,10.79 G,63.78 G,462.17 K,1.98 M
