query,time,httpCalls,nbResults,errors
query_10750,,0
query_1086,,0
query_10870,5.344,1,0
query_10871,23.371,1,0
query_10872,240.588,1,0
query_10873,3.243,1,0
query_10875,35.36,1,0
query_10876,0.046,1,0
query_10877,,0
query_10878,0.026,1,0
query_10879,0.034,1,0
query_1087,4.372,1,0
query_10880,112.475,1,0
query_10881,6.387,1,0
query_10882,28.233,1,0
query_10883,2.681,1,0
query_10884,2.968,1,0
query_10885,124.335,1,0
query_10886,0.443,1,0
query_10888,0.268,1,0
query_10889,32.407,1,0
query_1088,5.589,1,0
query_10890,,0
query_10891,7.865,1,0
query_10892,122.531,1,0
query_10895,0.578,1,0
query_10896,0.122,1,0
query_10897,57.23,1,0
query_10898,7.748,1,0
query_10899,0.2,1,0
query_1089,51.37,1,0
query_108,15.688,1,0
query_10900,11.279,1,0
query_10902,127.76,1,0
query_10903,16.008,1,0
query_10904,,0
query_10905,7.756,1,0
query_10906,28.19,1,0
query_10907,117.343,1,0
query_10909,2.265,1,0
query_1090,113.411,1,0
query_10910,3.433,1,0
query_10913,2.834,1,0
query_10914,35.62,1,0
query_10915,146.597,1,0
query_10916,,0
query_10917,0.146,1,0
query_10918,7.777,1,0
query_10919,0.032,1,0
query_1091,0.189,1,0
query_10920,116.314,1,0
query_10921,4.566,1,0
query_10922,70.385,1,0
query_10923,79.762,1,0
query_10924,26.63,1,0
query_10925,0.102,1,0
query_10926,14.824,1,0
query_10928,0.623,1,0
query_10929,56.214,1,0
query_10930,110.89,1,0
query_10931,19.584,1,0
query_10932,80.761,1,0
query_10933,121.868,1,0
query_10934,53.838,1,0
query_10935,103.355,1,0
query_10936,75.366,1,0
query_10937,12.224,1,0
query_10938,5.536,1,0
query_1093,49.892,1,0
query_10941,1.707,1,0
query_10943,5.716,1,0
query_10944,130.359,1,0
query_10945,0.45,1,0
query_10946,2.378,1,0
query_1094,10.881,1,0
query_10951,0.026,1,0
query_10952,280.155,1,0
query_10954,0.101,1,0
query_10955,167.677,1,0
query_10956,195.037,1,0
query_10958,0.103,1,0
query_10959,9.171,1,0
query_1095,108.159,1,0
query_10961,0.027,1,0
query_10962,0.025,1,0
query_10963,0.444,1,0
query_10964,13.963,1,0
query_10965,,0
query_10966,1.206,1,0
query_10967,88.816,1,0
query_10968,164.621,1,0
query_10969,,0
query_1096,2.481,1,0
query_10971,271.821,1,0
query_10972,48.948,1,0
query_10973,63.258,1,0
query_10975,8.408,1,0
query_10977,103.946,1,0
query_10978,133.709,1,0
query_10979,36.06,1,0
query_10980,0.989,1,0
query_10983,0.667,1,0
query_10985,0.785,1,0
query_10986,168.487,1,0
query_10987,122.025,1,0
query_10988,3.4,1,0
query_1098,127.71,1,0
query_10990,0.892,1,0
query_10991,49.856,1,0
query_10992,0.203,1,0
query_10995,0.101,1,0
query_10998,255.822,1,0
query_10999,0.179,1,0
query_1099,2.666,1,0
query_10,3.691,1,0
query_11000,20.756,1,0
query_11001,54.099,1,0
query_11002,22.529,1,0
query_11003,46.973,1,0
query_11004,0.027,1,0
query_11006,,0
query_11008,1.092,1,0
query_11009,73.761,1,0
query_1100,53.026,1,0
query_11010,0.214,1,0
query_11011,59.202,1,0
query_11012,180.801,1,0
query_11013,0.829,1,0
query_11014,44.93,1,0
query_11015,136.824,1,0
query_11016,159.53,1,0
query_11017,2.828,1,0
query_11018,49.364,1,0
query_11019,80.186,1,0
query_1101,33.401,1,0
query_11020,20.278,1,0
query_11021,12.897,1,0
query_11025,0.789,1,0
query_11026,221.347,1,0
query_11027,43.533,1,0
query_11029,77.157,1,0
query_1102,0.029,1,0
query_11030,30.77,1,0
query_11031,115.345,1,0
query_11033,7.311,1,0
query_11034,82.197,1,0
query_11035,67.482,1,0
query_11036,57.043,1,0
query_11038,0.024,1,0
query_11039,0.031,1,0
query_1103,0.036,1,0
query_11040,0.869,1,0
query_11041,0.82,1,0
query_5602,3.641,1,0
query_6314,86.768,1,0
query_768,0.178,1,0
