query,time,httpCalls,nbResults,errors
query_10027,,0
query_10312,,0
query_10367,158.113,1,0
query_10425,117.846,1,0
query_10448,13.779,1,0
query_10509,3.192,1,0
query_10546,94.938,1,0
query_10553,157.442,1,0
query_10685,23.345,1,0
query_10741,,0
query_10990,1.046,1,0
query_11027,63.994,1,0
query_11043,,0
query_11212,11.716,1,0
query_11222,9.962,1,0
query_11418,38.615,1,0
query_11434,21.791,1,0
query_11497,3.441,1,0
query_11506,4.166,1,0
query_11593,30.85,1,0
query_11701,149.082,1,0
query_11725,23.028,1,0
query_1176,,0
query_11823,6.128,1,0
query_1183,0.024,1,0
query_1192,10.19,1,0
query_12022,14.421,1,0
query_12035,5.293,1,0
query_1226,,0
query_12334,3.84,1,0
query_1247,4.502,1,0
query_1295,146.946,1,0
query_1399,0.42,1,0
query_1405,2.598,1,0
query_1463,6.477,1,0
query_1467,195.688,1,0
query_1495,98.474,1,0
query_1513,16.551,1,0
query_1698,133.986,1,0
query_1744,4.804,1,0
query_1753,2.04,1,0
query_1969,67.937,1,0
query_1992,158.043,1,0
query_2044,0.45,1,0
query_2059,183.606,1,0
query_2157,53.997,1,0
query_2236,156.645,1,0
query_2347,18.533,1,0
query_2374,1.248,1,0
query_2465,82.106,1,0
query_2496,4.076,1,0
query_2546,0.023,1,0
query_2552,,0
query_2559,108.737,1,0
query_25,35.594,1,0
query_2610,135.479,1,0
query_2632,9.509,1,0
query_2826,54.503,1,0
query_2849,,0
query_2879,73.626,1,0
query_3002,0.14,1,0
query_3015,5.042,1,0
query_3100,119.859,1,0
query_3133,83.093,1,0
query_3143,4.101,1,0
query_3175,,0
query_3247,0.027,1,0
query_3312,,0
query_3333,6.172,1,0
query_3345,0.676,1,0
query_335,30.546,1,0
query_3373,4.858,1,0
query_3449,10.95,1,0
query_3606,0.024,1,0
query_3611,0.31,1,0
query_3629,1.915,1,0
query_3701,,0
query_3769,141.216,1,0
query_3824,144.741,1,0
query_3847,,0
query_3957,52.679,1,0
query_4138,96.46,1,0
query_4390,53.736,1,0
query_4448,0.608,1,0
query_4463,0.564,1,0
query_451,94.698,1,0
query_4581,163.943,1,0
query_4654,48.106,1,0
query_4655,113.736,1,0
query_466,98.742,1,0
query_472,171.109,1,0
query_473,14.991,1,0
query_4833,29.26,1,0
query_5146,78.42,1,0
query_5178,66.535,1,0
query_519,60.86,1,0
query_5203,8.602,1,0
query_5294,8.959,1,0
query_5340,0.248,1,0
query_5361,0.828,1,0
query_5370,36.322,1,0
query_538,12.428,1,0
query_5422,30.315,1,0
query_5542,3.046,1,0
query_5766,164.598,1,0
query_5871,28.669,1,0
query_5874,6.28,1,0
query_593,0.024,1,0
query_5965,107.064,1,0
query_596,200.701,1,0
query_5972,,0
query_6022,0.027,1,0
query_6115,78.106,1,0
query_625,1.23,1,0
query_6314,107.756,1,0
query_6348,0.022,1,0
query_6394,4.659,1,0
query_6437,,0
query_6776,1.766,1,0
query_6950,,0
query_698,5.482,1,0
query_6,54.963,1,0
query_7021,0.551,1,0
query_7023,0.158,1,0
query_7072,2.505,1,0
query_7089,0.055,1,0
query_708,0.798,1,0
query_71,0.022,1,0
query_7211,80.325,1,0
query_7419,0.025,1,0
query_743,0.032,1,0
query_7450,4.739,1,0
query_8017,3.624,1,0
query_8085,0.685,1,0
query_8216,1.273,1,0
query_8252,0.159,1,0
query_8337,0.575,1,0
query_8348,37.825,1,0
query_8437,35.086,1,0
query_848,0.022,1,0
query_8568,33.211,1,0
query_8860,10.467,1,0
query_8956,1.844,1,0
query_895,0.551,1,0
query_8979,78.438,1,0
query_9027,6.676,1,0
query_9128,0.187,1,0
query_9161,0.113,1,0
query_9197,2.15,1,0
query_9500,0.031,1,0
query_9546,2.126,1,0
query_9580,44.432,1,0
query_9634,27.711,1,0
query_964,17.527,1,0
query_9835,0.064,1,0
query_9911,3.655,1,0
